sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,when,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
1 puff from the inhaler every four or six hours as needed for wheezing,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,4,6,hour,,,,,,,,,24,46,every four or six hour,every 4-6 hours,,,,,,,1,wheezing,48,70,as needed for wheezing
1 puff from the inhaler every four or six hours for 10 days as needed for cough,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,4,6,hour,,,,,,,,,24,46,every four or six hour,every 4-6 hours,10,,day,48,58,10 day,1,cough,60,79,as needed for cough
1 puff from the inhaler every four or six hours for 14 days as needed for cough,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,4,6,hour,,,,,,,,,24,46,every four or six hour,every 4-6 hours,14,,day,48,58,14 day,1,cough,60,79,as needed for cough
1 puff from the inhaler four times a day,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,4,,1,,day,,,,,,,,,24,40,four times a day,4 times per day,,,,,,,,,,,
1 puff from the inhaler three times a day,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,3,,1,,day,,,,,,,,,24,41,three times a day,3 times per day,,,,,,,,,,,
1 puff from the inhaler three times a day as needed,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,3,,1,,day,,,,,,,,,24,41,three times a day,3 times per day,,,,,,,1,,42,51,as needed
1 puff from the inhaler three times a day as needed for wheezing,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,3,,1,,day,,,,,,,,,24,41,three times a day,3 times per day,,,,,,,1,wheezing,42,64,as needed for wheezing
1 puff from the inhaler twice a day,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,2,,1,,day,,,,,,,,,24,35,twice a day,twice daily,,,,,,,,,,,
1 puff from the inhaler twice a day as needed,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,2,,1,,day,,,,,,,,,24,35,twice a day,twice daily,,,,,,,1,,36,45,as needed
1 puff from the inhaler twice a day as needed for shortness of breath,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,2,,1,,day,,,,,,,,,24,35,twice a day,twice daily,,,,,,,1,shortness of breath,36,69,as needed for shortness of breath
1 puff from the inhaler twice a day for 14 days,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,2,,1,,day,,,,,,,,,24,35,twice a day,twice daily,14,,day,36,46,14 day,,,,,
1 puff from the inhaler twice a day for 30 day(s),,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,2,,1,,day,,,,,,,,,24,35,twice a day,twice daily,30,,day,36,46,30 day,,,,,
1 puff from the inhaler twice a day for 90 day(s),,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,2,,1,,day,,,,,,,,,24,35,twice a day,twice daily,90,,day,36,46,90 day,,,,,
1 puffs from the inhaler daily,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,7,puffs,1,,1,,day,,,,,,,,,25,30,daily,daily,,,,,,,,,,,
1 puffs from the inhaler every 12 hours,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,7,puffs,1,,12,,hour,,,,,,,,,25,38,every 12 hour,every 12 hours,,,,,,,,,,,
1 puffs from the inhaler twice a day,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,7,puffs,2,,1,,day,,,,,,,,,25,36,twice a day,twice daily,,,,,,,,,,,
1 puffs from the inhaler twice a day for 30 day(s),,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,7,puffs,2,,1,,day,,,,,,,,,25,36,twice a day,twice daily,30,,day,37,47,30 day,,,,,
110 mcg/actuation aerosol inhaler 2 puffs from the inhaler twice a day with spacer,,,,,2,,puff,33,40, 2 puff,110,,mcg,0,7,110 mcg,via inhalation,36,41,puffs,2,,1,,day,,,,,,,,,59,70,twice a day,twice daily,,,,,,,,,,,
1-2 puffs as needed,,,,,1,2,puff,0,8,1-2 puff,,,,,,,via inhalation,4,9,puffs,,,,,,,,,,,,,,,,,,,,,,,,1,,10,19,as needed
1-2 puffs from the inhaler every 4 hours as needed,,,,,1,2,puff,0,8,1-2 puff,,,,,,,via inhalation,4,9,puffs,1,,4,,hour,,,,,,,,,27,39,every 4 hour,every 4 hours,,,,,,,1,,41,50,as needed
"1-2 puffs from the inhaler every 4 hours as needed for cough, wheezing, trouble breathing",,,,,1,2,puff,0,8,1-2 puff,,,,,,,via inhalation,4,9,puffs,1,,4,,hour,,,,,,,,,27,39,every 4 hour,every 4 hours,,,,,,,1,"cough,wheezing",41,89,"as needed for cough, wheezing, trouble breathing"
1-2 puffs from the inhaler every 4 hours as needed for shortness of breath,,,,,1,2,puff,0,8,1-2 puff,,,,,,,via inhalation,4,9,puffs,1,,4,,hour,,,,,,,,,27,39,every 4 hour,every 4 hours,,,,,,,1,shortness of breath,41,74,as needed for shortness of breath
1-2 puffs from the inhaler every 4 hours as needed for wheezing,,,,,1,2,puff,0,8,1-2 puff,,,,,,,via inhalation,4,9,puffs,1,,4,,hour,,,,,,,,,27,39,every 4 hour,every 4 hours,,,,,,,1,wheezing,41,63,as needed for wheezing
1-2 puffs from the inhaler every 4 hours for 10 days as needed for cough,,,,,1,2,puff,0,8,1-2 puff,,,,,,,via inhalation,4,9,puffs,1,,4,,hour,,,,,,,,,27,39,every 4 hour,every 4 hours,10,,day,41,51,10 day,1,cough,53,72,as needed for cough
1-2 puffs from the inhaler every 6 hours as needed,,,,,1,2,puff,0,8,1-2 puff,,,,,,,via inhalation,4,9,puffs,1,,6,,hour,,,,,,,,,27,39,every 6 hour,every 6 hours,,,,,,,1,,41,50,as needed
1-2 puffs from the inhaler every 6 hours as needed for shortness of breath,,,,,1,2,puff,0,8,1-2 puff,,,,,,,via inhalation,4,9,puffs,1,,6,,hour,,,,,,,,,27,39,every 6 hour,every 6 hours,,,,,,,1,shortness of breath,41,74,as needed for shortness of breath
1-2 puffs from the inhaler every four or six hours as needed,,,,,1,2,puff,0,8,1-2 puff,,,,,,,via inhalation,4,9,puffs,1,,4,6,hour,,,,,,,,,27,49,every four or six hour,every 4-6 hours,,,,,,,1,,51,60,as needed
1-2 puffs from the inhaler every four or six hours as needed for shortness of breath,,,,,1,2,puff,0,8,1-2 puff,,,,,,,via inhalation,4,9,puffs,1,,4,6,hour,,,,,,,,,27,49,every four or six hour,every 4-6 hours,,,,,,,1,shortness of breath,51,84,as needed for shortness of breath
1-2 puffs from the inhaler q4-6hrs as needed for wheezing,,,,,1,2,puff,0,8,1-2 puff,,,,,,,via inhalation,4,9,puffs,1,,4,6,hour,,,,,,,,,27,34,q4-6hrs,every 4-6 hours,,,,,,,1,wheezing,35,57,as needed for wheezing
1-2 puffs from the inhaler three times a day as needed for wheezing,,,,,1,2,puff,0,8,1-2 puff,,,,,,,via inhalation,4,9,puffs,3,,1,,day,,,,,,,,,27,44,three times a day,3 times per day,,,,,,,1,wheezing,45,67,as needed for wheezing
1-2 puffs from the inhaler twice a day,,,,,1,2,puff,0,8,1-2 puff,,,,,,,via inhalation,4,9,puffs,2,,1,,day,,,,,,,,,27,38,twice a day,twice daily,,,,,,,,,,,
2 (two) puffs from the inhaler daily,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,1,,day,,,,,,,,,31,36,daily,daily,,,,,,,,,,,
2 (two) puffs from the inhaler every 12 hours,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,12,,hour,,,,,,,,,31,44,every 12 hour,every 12 hours,,,,,,,,,,,
2 (two) puffs from the inhaler every 4 hours,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,4,,hour,,,,,,,,,31,43,every 4 hour,every 4 hours,,,,,,,,,,,
2 (two) puffs from the inhaler every 4 hours as needed,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,4,,hour,,,,,,,,,31,43,every 4 hour,every 4 hours,,,,,,,1,,45,54,as needed
2 (two) puffs from the inhaler every 4 hours as needed for cough,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,4,,hour,,,,,,,,,31,43,every 4 hour,every 4 hours,,,,,,,1,cough,45,64,as needed for cough
"2 (two) puffs from the inhaler every 4 hours as needed for cough, wheeze",,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,4,,hour,,,,,,,,,31,43,every 4 hour,every 4 hours,,,,,,,1,"cough,wheeze",45,72,"as needed for cough, wheeze"
"2 (two) puffs from the inhaler every 4 hours as needed for cough, wheezing",,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,4,,hour,,,,,,,,,31,43,every 4 hour,every 4 hours,,,,,,,1,"cough,wheezing",45,74,"as needed for cough, wheezing"
"2 (two) puffs from the inhaler every 4 hours as needed for cough, wheezing, shortness of breath",,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,4,,hour,,,,,,,,,31,43,every 4 hour,every 4 hours,,,,,,,1,"cough,wheezing,shortness of breath",45,95,"as needed for cough, wheezing, shortness of breath"
2 (two) puffs from the inhaler every 4 hours as needed for shortness of breath,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,4,,hour,,,,,,,,,31,43,every 4 hour,every 4 hours,,,,,,,1,shortness of breath,45,78,as needed for shortness of breath
2 (two) puffs from the inhaler every 4 hours as needed for wheezing,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,4,,hour,,,,,,,,,31,43,every 4 hour,every 4 hours,,,,,,,1,wheezing,45,67,as needed for wheezing
"2 (two) puffs from the inhaler every 4 hours as needed for wheezing, cough",,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,4,,hour,,,,,,,,,31,43,every 4 hour,every 4 hours,,,,,,,1,"wheezing,cough",45,74,"as needed for wheezing, cough"
2 (two) puffs from the inhaler every 6 hours,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,6,,hour,,,,,,,,,31,43,every 6 hour,every 6 hours,,,,,,,,,,,
2 (two) puffs from the inhaler every 6 hours as needed,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,6,,hour,,,,,,,,,31,43,every 6 hour,every 6 hours,,,,,,,1,,45,54,as needed
2 (two) puffs from the inhaler every 6 hours as needed for cough,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,6,,hour,,,,,,,,,31,43,every 6 hour,every 6 hours,,,,,,,1,cough,45,64,as needed for cough
2 (two) puffs from the inhaler every 6 hours as needed for shortness of breath,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,6,,hour,,,,,,,,,31,43,every 6 hour,every 6 hours,,,,,,,1,shortness of breath,45,78,as needed for shortness of breath
2 (two) puffs from the inhaler every 6 hours as needed for wheezing,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,6,,hour,,,,,,,,,31,43,every 6 hour,every 6 hours,,,,,,,1,wheezing,45,67,as needed for wheezing
2 (two) puffs from the inhaler every 8 hours for seven days,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,8,,hour,,,,,,,,,31,43,every 8 hour,every 8 hours,7,,day,45,58,seven day,,,,,
2 (two) puffs from the inhaler every four or six hours as needed,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,4,6,hour,,,,,,,,,31,53,every four or six hour,every 4-6 hours,,,,,,,1,,55,64,as needed
2 (two) puffs from the inhaler every four or six hours as needed for wheezing,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,1,,4,6,hour,,,,,,,,,31,53,every four or six hour,every 4-6 hours,,,,,,,1,wheezing,55,77,as needed for wheezing
2 (two) puffs from the inhaler four times a day,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,4,,1,,day,,,,,,,,,31,47,four times a day,4 times per day,,,,,,,,,,,
2 (two) puffs from the inhaler four times a day as needed,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,4,,1,,day,,,,,,,,,31,47,four times a day,4 times per day,,,,,,,1,,48,57,as needed
2 (two) puffs from the inhaler four times a day as needed for shortness of breath,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,4,,1,,day,,,,,,,,,31,47,four times a day,4 times per day,,,,,,,1,shortness of breath,48,81,as needed for shortness of breath
2 (two) puffs from the inhaler four times a day as needed for wheezing,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,4,,1,,day,,,,,,,,,31,47,four times a day,4 times per day,,,,,,,1,wheezing,48,70,as needed for wheezing
2 (two) puffs from the inhaler three times a day,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,3,,1,,day,,,,,,,,,31,48,three times a day,3 times per day,,,,,,,,,,,
2 (two) puffs from the inhaler twice a day,,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,2,,1,,day,,,,,,,,,31,42,twice a day,twice daily,,,,,,,,,,,
2 (two) puffs from the inhaler twice a day for thirty day(s),,,,,2,,puff,1,12, (two) puff,,,,,,,via inhalation,8,13,puffs,2,,1,,day,,,,,,,,,31,42,twice a day,twice daily,,,,,,,,,,,
2 pufffs from the inhaler twice a day,,,,,2,,puff,0,6,2 puff,,,,,,,,,,,2,,1,,day,,,,,,,,,26,37,twice a day,twice daily,,,,,,,,,,,
2 puffs every 4-6 hours as needed,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,6,hour,,,,,,,,,8,22,every 4-6 hour,every 4-6 hours,,,,,,,1,,24,33,as needed
2 puffs from the inhaler at the first sign of symptoms,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 puffs from the inhaler bid with spacer,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,2,,1,,day,,,,,,,,,25,28,bid,twice daily,,,,,,,,,,,
2 puffs from the inhaler daily,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,1,,day,,,,,,,,,25,30,daily,daily,,,,,,,,,,,
2 puffs from the inhaler daily as needed,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,1,,day,,,,,,,,,25,30,daily,daily,,,,,,,1,,31,40,as needed
2 puffs from the inhaler daily as needed for shortness of breath,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,1,,day,,,,,,,,,25,30,daily,daily,,,,,,,1,shortness of breath,31,64,as needed for shortness of breath
2 puffs from the inhaler daily as needed for wheezing,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,1,,day,,,,,,,,,25,30,daily,daily,,,,,,,1,wheezing,31,53,as needed for wheezing
2 puffs from the inhaler every 12 hours,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,12,,hour,,,,,,,,,25,38,every 12 hour,every 12 hours,,,,,,,,,,,
2 puffs from the inhaler every 4 hours,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,,25,37,every 4 hour,every 4 hours,,,,,,,,,,,
2 puffs from the inhaler every 4 hours as needed,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,,25,37,every 4 hour,every 4 hours,,,,,,,1,,39,48,as needed
2 puffs from the inhaler every 4 hours as needed for asthma,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,,25,37,every 4 hour,every 4 hours,,,,,,,1,asthma,39,59,as needed for asthma
2 puffs from the inhaler every 4 hours as needed for cough,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,,25,37,every 4 hour,every 4 hours,,,,,,,1,cough,39,58,as needed for cough
2 puffs from the inhaler every 4 hours as needed for cough or difficulty breathing,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,,25,37,every 4 hour,every 4 hours,,,,,,,1,"cough,difficulty breathing",39,82,as needed for cough or difficulty breathing
2 puffs from the inhaler every 4 hours as needed for cough or wheeze,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,,25,37,every 4 hour,every 4 hours,,,,,,,1,"cough,wheeze",39,68,as needed for cough or wheeze
2 puffs from the inhaler every 4 hours as needed for cough or wheezing,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,,25,37,every 4 hour,every 4 hours,,,,,,,1,"cough,wheezing",39,70,as needed for cough or wheezing
"2 puffs from the inhaler every 4 hours as needed for cough, shortness of breath",,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,,25,37,every 4 hour,every 4 hours,,,,,,,1,"cough,shortness of breath",39,79,"as needed for cough, shortness of breath"
"2 puffs from the inhaler every 4 hours as needed for cough, shortness of breath, wheezing",,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,,25,37,every 4 hour,every 4 hours,,,,,,,1,"cough,shortness of breath,wheezing",39,89,"as needed for cough, shortness of breath, wheezing"
"2 puffs from the inhaler every 4 hours as needed for cough, wheeze",,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,,25,37,every 4 hour,every 4 hours,,,,,,,1,"cough,wheeze",39,66,"as needed for cough, wheeze"
"2 puffs from the inhaler every 4 hours as needed for cough, wheeze, shortness of breath",,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,,25,37,every 4 hour,every 4 hours,,,,,,,1,"cough,wheeze,shortness of breath",39,87,"as needed for cough, wheeze, shortness of breath"
"2 puffs from the inhaler every 4 hours as needed for cough, wheezing",,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,,25,37,every 4 hour,every 4 hours,,,,,,,1,"cough,wheezing",39,68,"as needed for cough, wheezing"
"2 puffs from the inhaler every 4 hours as needed for cough, wheezing, shortness of breath",,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,,25,37,every 4 hour,every 4 hours,,,,,,,1,"cough,wheezing,shortness of breath",39,89,"as needed for cough, wheezing, shortness of breath"
2 puffs from the inhaler every 4 hours as needed for cough/wheeze,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,,25,37,every 4 hour,every 4 hours,,,,,,,1,"cough,wheeze",39,65,as needed for cough/wheeze
2 puffs from the inhaler every 4 hours as needed for cough/wheezing,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,,25,37,every 4 hour,every 4 hours,,,,,,,1,"cough,wheezing",39,67,as needed for cough/wheezing
