sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,when,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
20 mg one tablet by mouth per day,,,,,1,,tablet,5,13, one tab,20,,mg,0,5,20 mg,oral,17,25,by mouth,1,,1,,day,,,,,,,,,30,33,day,daily,,,,,,,,,,,
20 mg take one tablet a day,take,6,10,take,1,,tablet,10,18, one tab,20,,mg,0,5,20 mg,,,,,1,,1,,day,,,,,,,,,24,27,day,daily,,,,,,,,,,,
20 mg takes as directed,,,,,,,,,,,20,,mg,0,5,20 mg,,,,,,,,,,,,,,,,,,12,23,as directed,,,,,,,,,,,,
20mg 1 po day,,,,,,,,,,,20,,mg,0,4,20mg,oral,7,9,po,1,,1,,day,,,,,,,,,10,13,day,daily,,,,,,,,,,,
20mg one a day,,,,,,,,,,,20,,mg,0,4,20mg,,,,,1,,1,,day,,,,,,,,,11,14,day,daily,,,,,,,,,,,
25 mg 1xday,,,,,,,,,,,25,,mg,0,5,25 mg,,,,,1,,1,,day,,,,,,,,,6,11,1xday,daily,,,,,,,,,,,
25 mg one tablet by mouth per day,,,,,1,,tablet,5,13, one tab,25,,mg,0,5,25 mg,oral,17,25,by mouth,1,,1,,day,,,,,,,,,30,33,day,daily,,,,,,,,,,,
25 mg take one tablet a day,take,6,10,take,1,,tablet,10,18, one tab,25,,mg,0,5,25 mg,,,,,1,,1,,day,,,,,,,,,24,27,day,daily,,,,,,,,,,,
4 capsules by mouth 1 hour prior to procedure.,,,,,4,,capsule,0,9,4 capsule,,,,,,,oral,11,19,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 mg 1 x day,,,,,,,,,,,40,,mg,0,5,40 mg,,,,,1,,1,,day,,,,,,,,,6,13,1 x day,daily,,,,,,,,,,,
40 mg 1xday,,,,,,,,,,,40,,mg,0,5,40 mg,,,,,1,,1,,day,,,,,,,,,6,11,1xday,daily,,,,,,,,,,,
40 mg by mouth 1 time a day,,,,,,,,,,,40,,mg,0,5,40 mg,oral,6,14,by mouth,1,,1,,day,,,,,,,,,24,27,day,daily,,,,,,,,,,,
40 mg one tablet by mouth per day,,,,,1,,tablet,5,13, one tab,40,,mg,0,5,40 mg,oral,17,25,by mouth,1,,1,,day,,,,,,,,,30,33,day,daily,,,,,,,,,,,
40 mg take one tablet a day,take,6,10,take,1,,tablet,10,18, one tab,40,,mg,0,5,40 mg,,,,,1,,1,,day,,,,,,,,,24,27,day,daily,,,,,,,,,,,
40 mg takes as directed,,,,,,,,,,,40,,mg,0,5,40 mg,,,,,,,,,,,,,,,,,,12,23,as directed,,,,,,,,,,,,
40mg 1 po day,,,,,,,,,,,40,,mg,0,4,40mg,oral,7,9,po,1,,1,,day,,,,,,,,,10,13,day,daily,,,,,,,,,,,
5 mg 1xday,,,,,,,,,,,5,,mg,0,4,5 mg,,,,,1,,1,,day,,,,,,,,,5,10,1xday,daily,,,,,,,,,,,
5 mg by mouth 1 time a day,,,,,,,,,,,5,,mg,0,4,5 mg,oral,5,13,by mouth,1,,1,,day,,,,,,,,,23,26,day,daily,,,,,,,,,,,
5 mg one tablet by mouth per day,,,,,1,,tablet,4,12, one tab,5,,mg,0,4,5 mg,oral,16,24,by mouth,1,,1,,day,,,,,,,,,29,32,day,daily,,,,,,,,,,,
5 mg take one tablet a day,take,5,9,take,1,,tablet,9,17, one tab,5,,mg,0,4,5 mg,,,,,1,,1,,day,,,,,,,,,23,26,day,daily,,,,,,,,,,,
50 mg 1xday,,,,,,,,,,,50,,mg,0,5,50 mg,,,,,1,,1,,day,,,,,,,,,6,11,1xday,daily,,,,,,,,,,,
50 mg one tablet by mouth per day,,,,,1,,tablet,5,13, one tab,50,,mg,0,5,50 mg,oral,17,25,by mouth,1,,1,,day,,,,,,,,,30,33,day,daily,,,,,,,,,,,
50 mg take one tablet a day,take,6,10,take,1,,tablet,10,18, one tab,50,,mg,0,5,50 mg,,,,,1,,1,,day,,,,,,,,,24,27,day,daily,,,,,,,,,,,
50 mg takes as directed,,,,,,,,,,,50,,mg,0,5,50 mg,,,,,,,,,,,,,,,,,,12,23,as directed,,,,,,,,,,,,
500 mg one tablet by mouth per day,,,,,1,,tablet,6,14, one tab,500,,mg,0,6,500 mg,oral,18,26,by mouth,1,,1,,day,,,,,,,,,31,34,day,daily,,,,,,,,,,,
650 mg orally before transfusion,,,,,,,,,,,650,,mg,0,6,650 mg,oral,7,13,orally,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75 mg one tablet by mouth per day,,,,,1,,tablet,5,13, one tab,75,,mg,0,5,75 mg,oral,17,25,by mouth,1,,1,,day,,,,,,,,,30,33,day,daily,,,,,,,,,,,
81 mg 1xday,,,,,,,,,,,81,,mg,0,5,81 mg,,,,,1,,1,,day,,,,,,,,,6,11,1xday,daily,,,,,,,,,,,
81 mg one tablet by mouth per day,,,,,1,,tablet,5,13, one tab,81,,mg,0,5,81 mg,oral,17,25,by mouth,1,,1,,day,,,,,,,,,30,33,day,daily,,,,,,,,,,,
81 mg take one tablet a day,take,6,10,take,1,,tablet,10,18, one tab,81,,mg,0,5,81 mg,,,,,1,,1,,day,,,,,,,,,24,27,day,daily,,,,,,,,,,,
81mg one a day,,,,,,,,,,,81,,mg,0,4,81mg,,,,,1,,1,,day,,,,,,,,,11,14,day,daily,,,,,,,,,,,
"apply (thoroughly massage into skin from head to soles of feet) by topical route once leave on for 8-14 hr, then remove by thorough washing",apply,0,5,apply,,,,,,,,,,,,,topical,67,74,topical,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apply to affected area 30 minutes prior to accessing port,apply,0,5,apply,,,,,,,,,,,,,topical,6,22,to affected area,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as directed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,as directed,,,,,,,,,,,,
as directed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,as directed,,,,,,,,,,,,
as instructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
by mouth 1 time a day,,,,,,,,,,,,,,,,,oral,0,8,by mouth,1,,1,,day,,,,,,,,,18,21,day,daily,,,,,,,,,,,
by mouth as directed,,,,,,,,,,,,,,,,,oral,0,8,by mouth,,,,,,,,,,,,,,9,20,as directed,,,,,,,,,,,,
by mouth as directed on bottle when needed,,,,,,,,,,,,,,,,,oral,0,8,by mouth,,,,,,,,,,,,,,9,20,as directed,,,,,,,,,,,,
by mouth as directed when needed,,,,,,,,,,,,,,,,,oral,0,8,by mouth,,,,,,,,,,,,,,9,20,as directed,,,,,,,,,,,,
by mouth as need,,,,,,,,,,,,,,,,,oral,0,8,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
by mouth dialy,,,,,,,,,,,,,,,,,oral,0,8,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
check blood glucose as directed *insulin pump*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,31,as directed,,,,,,,,,,,,
checks bg 1xd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checks bg 2xd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checks bg 3xd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checks bg 4xd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
follow package directions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inhale 2 puffs by inhalation route at least 15 minutes before exertion,inhale,0,6,inhale,2,,pressurised inhalation,6,13, 2 puff,,,,,,,respiratory tract,18,28,inhalation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inject as directed,inject,0,6,inject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,18,as directed,,,,,,,,,,,,
inject into muscle if needed for severe allergic reaction*seek medical attention after use.,inject,0,6,inject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inject into muscle if needed for severe allergic reaction. **seek medical attention after use**,inject,0,6,inject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one a day,,,,,,,,,,,,,,,,,,,,,1,,1,,day,,,,,,,,,6,9,day,daily,,,,,,,,,,,
one a day by mouth,,,,,,,,,,,,,,,,,oral,10,18,by mouth,1,,1,,day,,,,,,,,,6,9,day,daily,,,,,,,,,,,
one by mouth a day,,,,,,,,,,,,,,,,,oral,4,12,by mouth,1,,1,,day,,,,,,,,,15,18,day,daily,,,,,,,,,,,
one per day,,,,,,,,,,,,,,,,,,,,,1,,1,,day,,,,,,,,,8,11,day,daily,,,,,,,,,,,
one tablet a day,,,,,1,,tablet,0,7,one tab,,,,,,,,,,,1,,1,,day,,,,,,,,,13,16,day,daily,,,,,,,,,,,
one tablet a day po,,,,,1,,tablet,0,7,one tab,,,,,,,oral,17,19,po,1,,1,,day,,,,,,,,,13,16,day,daily,,,,,,,,,,,
one tablet by mouth a day,,,,,1,,tablet,0,7,one tab,,,,,,,oral,11,19,by mouth,1,,1,,day,,,,,,,,,22,25,day,daily,,,,,,,,,,,
one tablet by mouth per day,,,,,1,,tablet,0,7,one tab,,,,,,,oral,11,19,by mouth,1,,1,,day,,,,,,,,,24,27,day,daily,,,,,,,,,,,
one tablet per day,,,,,1,,tablet,0,7,one tab,,,,,,,,,,,1,,1,,day,,,,,,,,,15,18,day,daily,,,,,,,,,,,
otc orally if needed,,,,,,,,,,,,,,,,,oral,4,10,orally,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per sliding scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place 1 spray (0.4 mg) by translingual route onto or under the tongue at the first sign of an attack; no more than 3 sprays are recommended within a 15 minute period.,place,0,5,place,1,,spray,5,13, 1 spray,0.4,,mg,13,21, (0.4 mg,translingual,26,38,translingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place 1 tablet (0.4 mg) by buccal route at the first sign of an attack; no more than 3 tablets are recommended within a 15 minute period.,place,0,5,place,1,,tablet,5,11, 1 tab,0.4,,mg,14,22, (0.4 mg,buccal,27,33,buccal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place 1 tablet (0.4 mg) by buccal route at the first sign of an attack; no more than 3 tabs are recommended within a 15 minute period.,place,0,5,place,1,,tablet,5,11, 1 tab,0.4,,mg,14,22, (0.4 mg,buccal,27,33,buccal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"place one tablet under tongue at first sign of chest pain. after 5 minutes, if not resolved, may repeat. may repeat for a total of 3 doses. if no relief, call 911.",place,0,5,place,1,,tablet,5,13, one tab,,,,,,,sublingual,17,29,under tongue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"please dispense one meter kit, use as directed",use,31,34,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,46,as directed,,,,,,,,,,,,
"please dispense one meter kit, use as directed.",use,31,34,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,46,as directed,,,,,,,,,,,,
po a day,,,,,,,,,,,,,,,,,oral,0,2,po,1,,1,,day,,,,,,,,,5,8,day,daily,,,,,,,,,,,
see notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sliding scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
take 1 capsule every *other* day,take,0,4,take,1,,capsule,4,14, 1 capsule,,,,,,,,,,,1,,1,,day,,,,,,,,,29,32,day,daily,,,,,,,,,,,
"take 1 tablet (10 mg) by oral route once, may repeat at 2 hour intervals; do not exceed 30 mg in 24 hours",take,0,4,take,1,,tablet,4,10, 1 tab,10,,mg,13,20, (10 mg,oral,25,29,oral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
take 1 tablet (150 mg) by oral route once,take,0,4,take,1,,tablet,4,10, 1 tab,150,,mg,13,21, (150 mg,oral,26,30,oral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
take 1 tablet by mouth 2 (two) times a day.,take,0,4,take,1,,tablet,4,10, 1 tab,,,,,,,oral,14,22,by mouth,1,,1,,day,,,,,,,,,39,42,day,daily,,,,,,,,,,,
take 1 tablet by mouth as directed,take,0,4,take,1,,tablet,4,10, 1 tab,,,,,,,oral,14,22,by mouth,,,,,,,,,,,,,,23,34,as directed,,,,,,,,,,,,
take as directed,take,0,4,take,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,as directed,,,,,,,,,,,,
take as directed for 6 days,take,0,4,take,,,,,,,,,,,,,,,,,1,,1,,day,,,,,,,,,23,26,day,daily,6,,day,17,26,6 day,,,,,
take as directed on package,take,0,4,take,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,as directed,,,,,,,,,,,,
take as directed.,take,0,4,take,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,as directed,,,,,,,,,,,,
take as instructed,take,0,4,take,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
take by mouth as directed,take,0,4,take,,,,,,,,,,,,,oral,5,13,by mouth,,,,,,,,,,,,,,14,25,as directed,,,,,,,,,,,,
take one po and repeat in 72 hours if needed,take,0,4,take,,,,,,,,,,,,,oral,9,11,po,,,,,,,,,,,,,,,,,,,,,,,,,,,,
take one tablet a day,take,0,4,take,1,,tablet,4,12, one tab,,,,,,,,,,,1,,1,,day,,,,,,,,,18,21,day,daily,,,,,,,,,,,
take one tablet approximately 1 hour prior to sexual activity. max 1 dose/24 hrs. *dns*,take,0,4,take,1,,tablet,4,12, one tab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
take one tablet by mouth as directed,take,0,4,take,1,,tablet,4,12, one tab,,,,,,,oral,16,24,by mouth,,,,,,,,,,,,,,25,36,as directed,,,,,,,,,,,,
take orally as directed,take,0,4,take,,,,,,,,,,,,,oral,5,11,orally,,,,,,,,,,,,,,12,23,as directed,,,,,,,,,,,,
take per package instructions,take,0,4,take,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(? dosage) 1 tab po qd,,,,,1,,tablet,10,16, 1 tab,,,,,,,oral,17,19,po,1,,1,,day,,,,,,,,,20,22,qd,daily,,,,,,,,,,,
(also known as aldactone) 1 tablet by mouth every other day,,,,,1,,tablet,25,31, 1 tab,,,,,,,oral,35,43,by mouth,1,,2,,day,,,,,,,,,44,59,every other day,every 2 days,,,,,,,,,,,
(also known as amaryl) 1 tablet by mouth with breakfast,,,,,1,,tablet,22,28, 1 tab,,,,,,,oral,32,40,by mouth,,,,,,,,,,with breakfast,,,,41,55,with breakfast, with breakfast,,,,,,,,,,,
(also known as amaryl) 1 tablet by mouth with dinner,,,,,1,,tablet,22,28, 1 tab,,,,,,,oral,32,40,by mouth,,,,,,,,,,with dinner,,,,41,52,with dinner, with dinner,,,,,,,,,,,
(also known as aralen) 1 tablet by mouth every week,,,,,1,,tablet,22,28, 1 tab,,,,,,,oral,32,40,by mouth,1,,1,,week,,,,,,,,,41,51,every week,every week,,,,,,,,,,,
(also known as arava) 1 tablet by mouth every other day,,,,,1,,tablet,21,27, 1 tab,,,,,,,oral,31,39,by mouth,1,,2,,day,,,,,,,,,40,55,every other day,every 2 days,,,,,,,,,,,
(also known as aricept) 1 tablet by mouth with dinner,,,,,1,,tablet,23,29, 1 tab,,,,,,,oral,33,41,by mouth,,,,,,,,,,with dinner,,,,42,53,with dinner, with dinner,,,,,,,,,,,
(also known as bentyl) 1 capsule by mouth before each meal,,,,,1,,capsule,22,32, 1 capsule,,,,,,,oral,33,41,by mouth,,,,,,,,,,before meal,,,,42,58,before each meal, before meal,,,,,,,,,,,
(also known as bentyl) 1 tablet by mouth before each meal,,,,,1,,tablet,22,28, 1 tab,,,,,,,oral,32,40,by mouth,,,,,,,,,,before meal,,,,41,57,before each meal, before meal,,,,,,,,,,,
(also known as boniva) 1 tablet by mouth every month,,,,,1,,tablet,22,28, 1 tab,,,,,,,oral,32,40,by mouth,1,,1,,month,,,,,,,,,41,52,every month,every month,,,,,,,,,,,
"(also known as catapres-tts-1) 1 patch on dry, cleaned skin every week",,,,,1,,transdermal patch,30,38, 1 patch,,,,,,,topical,47,59,cleaned skin,1,,1,,week,,,,,,,,,60,70,every week,every week,,,,,,,,,,,
"(also known as catapres-tts-2) 1 patch on dry, cleaned skin every week",,,,,1,,transdermal patch,30,38, 1 patch,,,,,,,topical,47,59,cleaned skin,1,,1,,week,,,,,,,,,60,70,every week,every week,,,,,,,,,,,
"(also known as catapres-tts-3) 1 patch on dry, cleaned skin every week",,,,,1,,transdermal patch,30,38, 1 patch,,,,,,,topical,47,59,cleaned skin,1,,1,,week,,,,,,,,,60,70,every week,every week,,,,,,,,,,,
"(also known as climara) 1 patch on dry, cleaned skin every week",,,,,1,,transdermal patch,23,31, 1 patch,,,,,,,topical,40,52,cleaned skin,1,,1,,week,,,,,,,,,53,63,every week,every week,,,,,,,,,,,
(also known as colestid) 1 tablet by mouth daily,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,day,,,,,,,,,43,48,daily,daily,,,,,,,,,,,
(also known as colestid) 1 tablet by mouth twice a day,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,day,,,,,,,,,51,54,day,daily,,,,,,,,,,,
(also known as colestid) 2 tablets by mouth daily,,,,,2,,tablet,24,30, 2 tab,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,44,49,daily,daily,,,,,,,,,,,
(also known as colestid) 2 tablets by mouth twice a day,,,,,2,,tablet,24,30, 2 tab,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,52,55,day,daily,,,,,,,,,,,
(also known as colestid) 2 tablets by mouth with dinner,,,,,2,,tablet,24,30, 2 tab,,,,,,,oral,35,43,by mouth,,,,,,,,,,with dinner,,,,44,55,with dinner, with dinner,,,,,,,,,,,
(also known as coreg) 1 tablet by mouth bid cc,,,,,1,,tablet,21,27, 1 tab,,,,,,,oral,31,39,by mouth,2,,1,,day,,,,,,,,,40,43,bid,twice daily,,,,,,,,,,,
(also known as coreg) 1 tablet by mouth bid with meals,,,,,1,,tablet,21,27, 1 tab,,,,,,,oral,31,39,by mouth,2,,1,,day,,,,,,,,,40,43,bid,twice daily,,,,,,,,,,,
(also known as d3-50 cholecalciferol) 1 capsule by mouth every week,,,,,1,,capsule,37,47, 1 capsule,,,,,,,oral,48,56,by mouth,1,,1,,week,,,,,,,,,57,67,every week,every week,,,,,,,,,,,
(also known as d3-50 cholecalciferol) 1 capsule by mouth every week for 12 weeks,,,,,1,,capsule,37,47, 1 capsule,,,,,,,oral,48,56,by mouth,1,,1,,week,,,,,,,,,57,67,every week,every week,12,,week,68,79,12 week,,,,,
(also known as d3-50 cholecalciferol) 1 capsule by mouth every week for 8 weeks,,,,,1,,capsule,37,47, 1 capsule,,,,,,,oral,48,56,by mouth,1,,1,,week,,,,,,,,,57,67,every week,every week,8,,week,68,78,8 week,,,,,
(also known as diabeta) 1 tablet by mouth with dinner,,,,,1,,tablet,23,29, 1 tab,,,,,,,oral,33,41,by mouth,,,,,,,,,,with dinner,,,,42,53,with dinner, with dinner,,,,,,,,,,,
(also known as diflucan) 1 tablet by mouth every other day,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,2,,day,,,,,,,,,43,58,every other day,every 2 days,,,,,,,,,,,
(also known as diflucan) 1 tablet by mouth every other day for 3 days,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,2,,day,,,,,,,,,43,58,every other day,every 2 days,3,,day,59,68,3 day,,,,,
(also known as diflucan) 1 tablet by mouth every other day for 5 days,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,2,,day,,,,,,,,,43,58,every other day,every 2 days,5,,day,59,68,5 day,,,,,
(also known as diflucan) 1 tablet by mouth every other day for 7 days,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,2,,day,,,,,,,,,43,58,every other day,every 2 days,7,,day,59,68,7 day,,,,,
(also known as diflucan) 1 tablet by mouth every week,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,week,,,,,,,,,43,53,every week,every week,,,,,,,,,,,
(also known as diflucan) 1 tablet by mouth every week for 14 days,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,week,,,,,,,,,43,53,every week,every week,14,,day,54,64,14 day,,,,,
(also known as diflucan) 1 tablet by mouth every week for 3 weeks,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,week,,,,,,,,,43,53,every week,every week,3,,week,54,64,3 week,,,,,
