sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
allegra 1 tablet by mouth daily as needed for allergy,,,,,1,,tablet,7,16, 1 tablet,,,,,,,by mouth,17,25,by mouth,1,,1,,day,,,,,,,,26,31,daily,daily,,,,,,,,,,,1,allergy,32,53,as needed for allergy
allegra 1 tablet by mouth twice a day,,,,,1,,tablet,7,16, 1 tablet,,,,,,,by mouth,17,25,by mouth,2,,1,,day,,,,,,,,26,37,twice a day,twice daily,,,,,,,,,,,,,,,
also known as abilify 0.5 tablet by mouth daily,,,,,0.5,,tablet,21,32, 0.5 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
also known as abilify 0.5 tablet by mouth every evening at bedtime,,,,,0.5,,tablet,21,32, 0.5 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,66,every evening at bedtime,daily,in the evening at bedtime,42,66,every evening at bedtime,,,,,,,,,,,
also known as abilify 1 tablet by mouth daily,,,,,1,,tablet,21,30, 1 tablet,,,,,,,by mouth,31,39,by mouth,1,,1,,day,,,,,,,,40,45,daily,daily,,,,,,,,,,,,,,,
also known as abilify 1 tablet by mouth every evening at bedtime,,,,,1,,tablet,21,30, 1 tablet,,,,,,,by mouth,31,39,by mouth,1,,1,,day,,,,,,,,40,64,every evening at bedtime,daily,in the evening at bedtime,40,64,every evening at bedtime,,,,,,,,,,,
also known as accupril 1 tablet by mouth daily,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,41,46,daily,daily,,,,,,,,,,,,,,,
also known as accupril 1 tablet by mouth twice a day,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,2,,1,,day,,,,,,,,41,52,twice a day,twice daily,,,,,,,,,,,,,,,
also known as accupril 2 tablets by mouth daily,,,,,2,,tablet,22,32, 2 tablets,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
also known as accuretic 1 tablet by mouth daily,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
also known as aceon 1 tablet by mouth daily,,,,,1,,tablet,19,28, 1 tablet,,,,,,,by mouth,29,37,by mouth,1,,1,,day,,,,,,,,38,43,daily,daily,,,,,,,,,,,,,,,
also known as acid reducer famotidine 1 tablet by mouth daily,,,,,1,,tablet,37,46, 1 tablet,,,,,,,by mouth,47,55,by mouth,1,,1,,day,,,,,,,,56,61,daily,daily,,,,,,,,,,,,,,,
also known as acid reducer famotidine 1 tablet by mouth twice a day,,,,,1,,tablet,37,46, 1 tablet,,,,,,,by mouth,47,55,by mouth,2,,1,,day,,,,,,,,56,67,twice a day,twice daily,,,,,,,,,,,,,,,
also known as acid reducer ranitidine 1 tablet by mouth twice a day,,,,,1,,tablet,37,46, 1 tablet,,,,,,,by mouth,47,55,by mouth,2,,1,,day,,,,,,,,56,67,twice a day,twice daily,,,,,,,,,,,,,,,
also known as aciphex 1 tablet by mouth daily,,,,,1,,tablet,21,30, 1 tablet,,,,,,,by mouth,31,39,by mouth,1,,1,,day,,,,,,,,40,45,daily,daily,,,,,,,,,,,,,,,
also known as actigall 1 capsule by mouth daily,,,,,1,,capsule,22,32, 1 capsule,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
also known as actigall 1 capsule by mouth every 12 hours,,,,,1,,capsule,22,32, 1 capsule,,,,,,,by mouth,33,41,by mouth,1,,12,,hour,,,,,,,,42,55,every 12 hour,every 12 hours,,,,,,,,,,,,,,,
also known as actigall 1 capsule by mouth every 8 hours,,,,,1,,capsule,22,32, 1 capsule,,,,,,,by mouth,33,41,by mouth,1,,8,,hour,,,,,,,,42,54,every 8 hour,every 8 hours,,,,,,,,,,,,,,,
also known as actigall 1 capsule by mouth three times a day,,,,,1,,capsule,22,32, 1 capsule,,,,,,,by mouth,33,41,by mouth,3,,1,,day,,,,,,,,42,59,three times a day,3 times per day,,,,,,,,,,,,,,,
also known as actigall 1 capsule by mouth twice a day,,,,,1,,capsule,22,32, 1 capsule,,,,,,,by mouth,33,41,by mouth,2,,1,,day,,,,,,,,42,53,twice a day,twice daily,,,,,,,,,,,,,,,
also known as actigall 2 capsules by mouth twice a day,,,,,2,,capsule,22,33, 2 capsules,,,,,,,by mouth,34,42,by mouth,2,,1,,day,,,,,,,,43,54,twice a day,twice daily,,,,,,,,,,,,,,,
also known as activella 1 tablet by mouth daily,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
also known as actos 1 tablet by mouth daily,,,,,1,,tablet,19,28, 1 tablet,,,,,,,by mouth,29,37,by mouth,1,,1,,day,,,,,,,,38,43,daily,daily,,,,,,,,,,,,,,,
also known as acular ls 1 drop in eyes as directed three times a day,,,,,1,,drops,23,30, 1 drop,,,,,,,in both eyes,31,38,in eyes,3,,1,,day,,,,,,,,51,68,three times a day,3 times per day,,,,,,,,,,,,,,,
also known as acular 1 drop in eyes as directed three times a day,,,,,1,,drops,20,27, 1 drop,,,,,,,in both eyes,28,35,in eyes,3,,1,,day,,,,,,,,48,65,three times a day,3 times per day,,,,,,,,,,,,,,,
also known as acular 1 drop in the left eye four times a day,,,,,1,,drops,20,27, 1 drop,,,,,,,in left eye,28,43,in the left eye,4,,1,,day,,,,,,,,44,60,four times a day,4 times per day,,,,,,,,,,,,,,,
also known as acular 1 drop in the left eye qid beginning 2 days prior to surgery,,,,,1,,drops,20,27, 1 drop,,,,,,,in left eye,28,43,in the left eye,4,,1,,day,,,,,,,,44,47,qid,4 times per day,,,,,,,,,,,,,,,
also known as acular 1 drop in the left eye three times a day,,,,,1,,drops,20,27, 1 drop,,,,,,,in left eye,28,43,in the left eye,3,,1,,day,,,,,,,,44,61,three times a day,3 times per day,,,,,,,,,,,,,,,
also known as acular 1 drop in the left eye three times a day for 30 days,,,,,1,,drops,20,27, 1 drop,,,,,,,in left eye,28,43,in the left eye,3,,1,,day,,,,,,,,44,61,three times a day,3 times per day,,,,,30,,day,62,72,30 day,,,,,
also known as acular 1 drop in the right eye four times a day,,,,,1,,drops,20,27, 1 drop,,,,,,,in right eye,28,44,in the right eye,4,,1,,day,,,,,,,,45,61,four times a day,4 times per day,,,,,,,,,,,,,,,
also known as acular 1 drop in the right eye qid beginning 2 days prior to surgery,,,,,1,,drops,20,27, 1 drop,,,,,,,in right eye,28,44,in the right eye,4,,1,,day,,,,,,,,45,48,qid,4 times per day,,,,,,,,,,,,,,,
also known as acular 1 drop in the right eye three times a day,,,,,1,,drops,20,27, 1 drop,,,,,,,in right eye,28,44,in the right eye,3,,1,,day,,,,,,,,45,62,three times a day,3 times per day,,,,,,,,,,,,,,,
also known as acular 1 drop in the right eye three times a day for 30 days,,,,,1,,drops,20,27, 1 drop,,,,,,,in right eye,28,44,in the right eye,3,,1,,day,,,,,,,,45,62,three times a day,3 times per day,,,,,30,,day,63,73,30 day,,,,,
also known as adalat cc 1 tablet by mouth daily,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,with meal,21,23,cc,,,,,,,,,,,
also known as adalat cc 1 tablet by mouth twice a day,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,2,,1,,day,,,,,,,,42,53,twice a day,twice daily,with meal,21,23,cc,,,,,,,,,,,
also known as adderall xr 1 capsule by mouth daily,,,,,1,,capsule,25,35, 1 capsule,,,,,,,by mouth,36,44,by mouth,1,,1,,day,,,,,,,,45,50,daily,daily,,,,,,,,,,,,,,,
also known as adderall xr 1 capsule by mouth daily as needed,,,,,1,,capsule,25,35, 1 capsule,,,,,,,by mouth,36,44,by mouth,1,,1,,day,,,,,,,,45,50,daily,daily,,,,,,,,,,,1,,51,60,as needed
also known as adderall xr 1 capsule by mouth daily for 30 days,,,,,1,,capsule,25,35, 1 capsule,,,,,,,by mouth,36,44,by mouth,1,,1,,day,,,,,,,,45,50,daily,daily,,,,,30,,day,51,61,30 day,,,,,
also known as adderall xr 1 capsule by mouth every morning,,,,,1,,capsule,25,35, 1 capsule,,,,,,,by mouth,36,44,by mouth,1,,1,,day,,,,,,,,45,58,every morning,daily,in the morning,45,58,every morning,,,,,,,,,,,
also known as adderall xr 1 capsule by mouth every morning for 30 days,,,,,1,,capsule,25,35, 1 capsule,,,,,,,by mouth,36,44,by mouth,1,,1,,day,,,,,,,,45,58,every morning,daily,in the morning,45,58,every morning,30,,day,59,69,30 day,,,,,
also known as adderall xr 1 capsule by mouth twice a day,,,,,1,,capsule,25,35, 1 capsule,,,,,,,by mouth,36,44,by mouth,2,,1,,day,,,,,,,,45,56,twice a day,twice daily,,,,,,,,,,,,,,,
also known as adderall xr 2 capsules by mouth daily,,,,,2,,capsule,25,36, 2 capsules,,,,,,,by mouth,37,45,by mouth,1,,1,,day,,,,,,,,46,51,daily,daily,,,,,,,,,,,,,,,
also known as adderall xr 2 capsules by mouth every morning,,,,,2,,capsule,25,36, 2 capsules,,,,,,,by mouth,37,45,by mouth,1,,1,,day,,,,,,,,46,59,every morning,daily,in the morning,46,59,every morning,,,,,,,,,,,
also known as adderall 1 tablet by mouth at noon every day,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,49,58,every day,daily,,,,,,,,,,,,,,,
also known as adderall 1 tablet by mouth daily,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,41,46,daily,daily,,,,,,,,,,,,,,,
also known as adderall 1 tablet by mouth every morning,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,41,54,every morning,daily,in the morning,41,54,every morning,,,,,,,,,,,
also known as adderall 1 tablet by mouth three times a day,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,3,,1,,day,,,,,,,,41,58,three times a day,3 times per day,,,,,,,,,,,,,,,
also known as adderall 1 tablet by mouth twice a day,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,2,,1,,day,,,,,,,,41,52,twice a day,twice daily,,,,,,,,,,,,,,,
also known as adderall 2 tablets by mouth daily,,,,,2,,tablet,22,32, 2 tablets,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
also known as adipex-p 0.5 tablet by mouth daily,,,,,0.5,,tablet,22,33, 0.5 tablet,,,,,,,by mouth,34,42,by mouth,1,,1,,day,,,,,,,,43,48,daily,daily,,,,,,,,,,,,,,,
also known as adipex-p 1 capsule by mouth daily,,,,,1,,capsule,22,32, 1 capsule,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
also known as adipex-p 1 tablet by mouth daily,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,41,46,daily,daily,,,,,,,,,,,,,,,
also known as adipex-p 1 tablet by mouth every morning,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,41,54,every morning,daily,in the morning,41,54,every morning,,,,,,,,,,,
also known as aldactazide 0.5 tablet by mouth daily,,,,,0.5,,tablet,25,36, 0.5 tablet,,,,,,,by mouth,37,45,by mouth,1,,1,,day,,,,,,,,46,51,daily,daily,,,,,,,,,,,,,,,
also known as aldactazide 1 tablet by mouth daily,,,,,1,,tablet,25,34, 1 tablet,,,,,,,by mouth,35,43,by mouth,1,,1,,day,,,,,,,,44,49,daily,daily,,,,,,,,,,,,,,,
also known as aldactone 0.5 tablet by mouth daily,,,,,0.5,,tablet,23,34, 0.5 tablet,,,,,,,by mouth,35,43,by mouth,1,,1,,day,,,,,,,,44,49,daily,daily,,,,,,,,,,,,,,,
also known as aldactone 0.5 tablet by mouth twice a day,,,,,0.5,,tablet,23,34, 0.5 tablet,,,,,,,by mouth,35,43,by mouth,2,,1,,day,,,,,,,,44,55,twice a day,twice daily,,,,,,,,,,,,,,,
also known as aldactone 1 tablet by mouth at noon every day,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,50,59,every day,daily,,,,,,,,,,,,,,,
also known as aldactone 1 tablet by mouth daily,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
also known as aldactone 1 tablet by mouth daily as needed,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,1,,48,57,as needed
also known as aldactone 1 tablet by mouth daily for 14 days,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,14,,day,48,58,14 day,,,,,
also known as aldactone 1 tablet by mouth daily for 30 days,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,30,,day,48,58,30 day,,,,,
also known as aldactone 1 tablet by mouth daily for 90 days,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,90,,day,48,58,90 day,,,,,
also known as aldactone 1 tablet by mouth every 12 hours,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,12,,hour,,,,,,,,42,55,every 12 hour,every 12 hours,,,,,,,,,,,,,,,
also known as aldactone 1 tablet by mouth every evening at bedtime,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,66,every evening at bedtime,daily,in the evening at bedtime,42,66,every evening at bedtime,,,,,,,,,,,
also known as aldactone 1 tablet by mouth every morning,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,55,every morning,daily,in the morning,42,55,every morning,,,,,,,,,,,
also known as aldactone 1 tablet by mouth every other day,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,2,,day,,,,,,,,42,57,every other day,every 2 days,,,,,,,,,,,,,,,
also known as aldactone 1 tablet by mouth three times a day,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,3,,1,,day,,,,,,,,42,59,three times a day,3 times per day,,,,,,,,,,,,,,,
also known as aldactone 1 tablet by mouth twice a day,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,2,,1,,day,,,,,,,,42,53,twice a day,twice daily,,,,,,,,,,,,,,,
also known as aldactone 1 tablet by mouth twice a day for 90 days,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,2,,1,,day,,,,,,,,42,53,twice a day,twice daily,,,,,90,,day,54,64,90 day,,,,,
also known as aldactone 1.5 tablets by mouth daily,,,,,1.5,,tablet,23,35, 1.5 tablets,,,,,,,by mouth,36,44,by mouth,1,,1,,day,,,,,,,,45,50,daily,daily,,,,,,,,,,,,,,,
also known as aldactone 2 tablets by mouth daily,,,,,2,,tablet,23,33, 2 tablets,,,,,,,by mouth,34,42,by mouth,1,,1,,day,,,,,,,,43,48,daily,daily,,,,,,,,,,,,,,,
also known as aldactone 2 tablets by mouth every morning,,,,,2,,tablet,23,33, 2 tablets,,,,,,,by mouth,34,42,by mouth,1,,1,,day,,,,,,,,43,56,every morning,daily,in the morning,43,56,every morning,,,,,,,,,,,
also known as aldactone 2 tablets by mouth twice a day,,,,,2,,tablet,23,33, 2 tablets,,,,,,,by mouth,34,42,by mouth,2,,1,,day,,,,,,,,43,54,twice a day,twice daily,,,,,,,,,,,,,,,
also known as aldactone 3 tablets by mouth daily,,,,,3,,tablet,23,33, 3 tablets,,,,,,,by mouth,34,42,by mouth,1,,1,,day,,,,,,,,43,48,daily,daily,,,,,,,,,,,,,,,
also known as aldactone 4 tablets by mouth daily,,,,,4,,tablet,23,33, 4 tablets,,,,,,,by mouth,34,42,by mouth,1,,1,,day,,,,,,,,43,48,daily,daily,,,,,,,,,,,,,,,
also known as allegra allergy 1 tablet by mouth daily,,,,,1,,tablet,29,38, 1 tablet,,,,,,,by mouth,39,47,by mouth,1,,1,,day,,,,,,,,48,53,daily,daily,,,,,,,,,,,,,,,
also known as allegra-d 12 hour 1 tablet by mouth twice a day,,,,,1,,tablet,31,40, 1 tablet,,,,,,,by mouth,41,49,by mouth,2,,1,,day,,,,,,,,50,61,twice a day,twice daily,,,,,,,,,,,,,,,
also known as allegra-d 24 hour 1 tablet by mouth daily,,,,,1,,tablet,31,40, 1 tablet,,,,,,,by mouth,41,49,by mouth,1,,1,,day,,,,,,,,50,55,daily,daily,,,,,,,,,,,,,,,
also known as allegra 1 tablet by mouth daily,,,,,1,,tablet,21,30, 1 tablet,,,,,,,by mouth,31,39,by mouth,1,,1,,day,,,,,,,,40,45,daily,daily,,,,,,,,,,,,,,,
also known as allergy relief fexofenadine 1 tablet by mouth daily,,,,,1,,tablet,41,50, 1 tablet,,,,,,,by mouth,51,59,by mouth,1,,1,,day,,,,,,,,60,65,daily,daily,,,,,,,,,,,,,,,
also known as alphagan p 1 drop in both eyes three times a day,,,,,1,,drops,24,31, 1 drop,,,,,,,in both eyes,32,44,in both eyes,3,,1,,day,,,,,,,,45,62,three times a day,3 times per day,,,,,,,,,,,,,,,
also known as alphagan p 1 drop in both eyes three times a day for 30 days,,,,,1,,drops,24,31, 1 drop,,,,,,,in both eyes,32,44,in both eyes,3,,1,,day,,,,,,,,45,62,three times a day,3 times per day,,,,,30,,day,63,73,30 day,,,,,
also known as alphagan p 1 drop in both eyes three times a day for 90 days,,,,,1,,drops,24,31, 1 drop,,,,,,,in both eyes,32,44,in both eyes,3,,1,,day,,,,,,,,45,62,three times a day,3 times per day,,,,,90,,day,63,73,90 day,,,,,
also known as alphagan p 1 drop in both eyes twice a day,,,,,1,,drops,24,31, 1 drop,,,,,,,in both eyes,32,44,in both eyes,2,,1,,day,,,,,,,,45,56,twice a day,twice daily,,,,,,,,,,,,,,,
