original_sig_text,sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
TAKE ONE TABLET BY MOUTH DAILY,take one tablet by mouth daily,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,16,24,by mouth,1,,1,,day,,,,,,,,25,30,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (100 MG TOTAL) BY MOUTH DAILY,take 1 tablet 100 mg total by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,100,,mg,13,20, 100 mg,by mouth,27,35,by mouth,1,,1,,day,,,,,,,,36,41,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET BY MOUTH 2 TIMES A DAY,take 1 tablet by mouth 2 times a day,take,0,4,take,1,,tablet,4,13, 1 tablet,,,,,,,by mouth,14,22,by mouth,2,,1,,day,,,,,,,,23,36,2 times a day,twice daily,,,,,,,,,,,,,,,
APPLY TOPICALLY 2 TIMES A DAY,apply topically 2 times a day,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,16,29,2 times a day,twice daily,,,,,,,,,,,,,,,
TAKE 1 CAPSULE (20 MG TOTAL) BY MOUTH DAILY,take 1 capsule 20 mg total by mouth daily,take,0,4,take,1,,capsule,4,14, 1 capsule,20,,mg,14,20, 20 mg,by mouth,27,35,by mouth,1,,1,,day,,,,,,,,36,41,daily,daily,,,,,,,,,,,,,,,
ADMINISTER 2 SPRAYS INTO EACH NOSTRIL DAILY,administer 2 sprays into each nostril daily,administer,0,10,administer,2,,spray,10,18, 2 spray,,,,,,,in each nostril,20,37,into each nostril,1,,1,,day,,,,,,,,38,43,daily,daily,,,,,,,,,,,,,,,
TAKE 100 MG BY MOUTH DAILY,take 100 mg by mouth daily,take,0,4,take,,,,,,,100,,mg,4,11, 100 mg,by mouth,12,20,by mouth,1,,1,,day,,,,,,,,21,26,daily,daily,,,,,,,,,,,,,,,
TAKE 5 MG BY MOUTH DAILY,take 5 mg by mouth daily,take,0,4,take,,,,,,,5,,mg,4,9, 5 mg,by mouth,10,18,by mouth,1,,1,,day,,,,,,,,19,24,daily,daily,,,,,,,,,,,,,,,
TAKE 50 MG BY MOUTH DAILY,take 50 mg by mouth daily,take,0,4,take,,,,,,,50,,mg,4,10, 50 mg,by mouth,11,19,by mouth,1,,1,,day,,,,,,,,20,25,daily,daily,,,,,,,,,,,,,,,
TAKE 25 MG BY MOUTH DAILY,take 25 mg by mouth daily,take,0,4,take,,,,,,,25,,mg,4,10, 25 mg,by mouth,11,19,by mouth,1,,1,,day,,,,,,,,20,25,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (10 MG TOTAL) BY MOUTH EVERY NIGHT,take 1 tablet 10 mg total by mouth every night,take,0,4,take,1,,tablet,4,13, 1 tablet,10,,mg,13,19, 10 mg,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,46,every night,daily,at night,35,46,every night,,,,,,,,,,,
TAKE 81 MG BY MOUTH DAILY,take 81 mg by mouth daily,take,0,4,take,,,,,,,81,,mg,4,10, 81 mg,by mouth,11,19,by mouth,1,,1,,day,,,,,,,,20,25,daily,daily,,,,,,,,,,,,,,,
INHALE 2 PUFFS EVERY 4 HOURS AS NEEDED FOR WHEEZING,inhale 2 puffs every 4 hours as needed for wheezing,inhale,0,6,inhale,2,,puff,6,13, 2 puff,,,,,,,via inhalation,0,6,inhale,1,,4,,hour,,,,,,,,15,27,every 4 hour,every 4 hours,,,,,,,,,,,1,wheezing,29,51,as needed for wheezing
TAKE 1 CAPSULE (40 MG TOTAL) BY MOUTH DAILY,take 1 capsule 40 mg total by mouth daily,take,0,4,take,1,,capsule,4,14, 1 capsule,40,,mg,14,20, 40 mg,by mouth,27,35,by mouth,1,,1,,day,,,,,,,,36,41,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET BY MOUTH ONCE DAILY,take 1 tablet by mouth once daily,take,0,4,take,1,,tablet,4,13, 1 tablet,,,,,,,by mouth,14,22,by mouth,1,,1,,day,,,,,,,,23,33,once daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET BY MOUTH EVERY 12 HOURS FOR 10 DAYS,take 1 tablet by mouth every 12 hours for 10 days,take,0,4,take,1,,tablet,4,13, 1 tablet,,,,,,,by mouth,14,22,by mouth,1,,12,,hour,,,,,,,,23,36,every 12 hour,every 12 hours,,,,,10,,day,38,48,10 day,,,,,
FOLLOW PACKAGE DIRECTIONS,follow package directions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS NEEDED,as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,9,as needed
TAKE 1 TABLET (15 MG TOTAL) BY MOUTH DAILY,take 1 tablet 15 mg total by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,15,,mg,13,19, 15 mg,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,40,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET DAILY,take 1 tablet daily,take,0,4,take,1,,tablet,4,13, 1 tablet,,,,,,,,,,,1,,1,,day,,,,,,,,14,19,daily,daily,,,,,,,,,,,,,,,
"TAKE 1 CAPSULE (50,000 UNITS TOTAL) BY MOUTH WEEKLY",take 1 capsule 50000 units total by mouth weekly,take,0,4,take,1,,capsule,4,14, 1 capsule,50000,,units,14,26, 50000 units,by mouth,33,41,by mouth,1,,1,,week,,,,,,,,42,48,weekly,every week,,,,,,,,,,,,,,,
TAKE 1 TABLET (5 MG TOTAL) BY MOUTH 2 TIMES A DAY,take 1 tablet 5 mg total by mouth 2 times a day,take,0,4,take,1,,tablet,4,13, 1 tablet,5,,mg,13,18, 5 mg,by mouth,25,33,by mouth,2,,1,,day,,,,,,,,34,47,2 times a day,twice daily,,,,,,,,,,,,,,,
USE AS DIRECTED,use as directed,use,0,3,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,as directed,,,,,,,,,,,,,,,,
ADMINISTER 1 DROP INTO BOTH EYES 2 TIMES A DAY,administer 1 drop into both eyes 2 times a day,administer,0,10,administer,1,,drops,10,17, 1 drop,,,,,,,in both eyes,18,32,into both eyes,2,,1,,day,,,,,,,,33,46,2 times a day,twice daily,,,,,,,,,,,,,,,
ADMINISTER 1 SPRAY INTO EACH NOSTRIL DAILY,administer 1 spray into each nostril daily,administer,0,10,administer,1,,spray,10,18, 1 spray,,,,,,,in each nostril,19,36,into each nostril,1,,1,,day,,,,,,,,37,42,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET BY MOUTH EVERY 12 HOURS FOR 7 DAYS,take 1 tablet by mouth every 12 hours for 7 days,take,0,4,take,1,,tablet,4,13, 1 tablet,,,,,,,by mouth,14,22,by mouth,1,,12,,hour,,,,,,,,23,36,every 12 hour,every 12 hours,,,,,7,,day,38,47,7 day,,,,,
TAKE 1 TABLET (1 MG TOTAL) BY MOUTH DAILY,take 1 tablet 1 mg total by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,1,,mg,13,18, 1 mg,by mouth,25,33,by mouth,1,,1,,day,,,,,,,,34,39,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (40 MG TOTAL) BY MOUTH EVERY NIGHT,take 1 tablet 40 mg total by mouth every night,take,0,4,take,1,,tablet,4,13, 1 tablet,40,,mg,13,19, 40 mg,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,46,every night,daily,at night,35,46,every night,,,,,,,,,,,
EVERY 12 HOURS,every 12 hours,,,,,,,,,,,,,,,,,,,,,1,,12,,hour,,,,,,,,0,13,every 12 hour,every 12 hours,,,,,,,,,,,,,,,
TAKE ONE TABLET BY MOUTH EVERY DAY,take one tablet by mouth every day,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,16,24,by mouth,1,,1,,day,,,,,,,,25,34,every day,daily,,,,,,,,,,,,,,,
INHALE 2 PUFFS EVERY 4 HOURS AS NEEDED FOR WHEEZING. USE SPACER WHEN INHALING,inhale 2 puffs every 4 hours as needed for wheezing use spacer when inhaling,inhale,0,6,inhale,2,,puff,6,13, 2 puff,,,,,,,via inhalation,0,6,inhale,1,,4,,hour,,,,,,,,15,27,every 4 hour,every 4 hours,,,,,,,,,,,1,wheezing,29,76,as needed for wheezing use spacer when inhaling
TAKE 1 TABLET BY MOUTH DAILY,take 1 tablet by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,,,,,,,by mouth,14,22,by mouth,1,,1,,day,,,,,,,,23,28,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (20 MG TOTAL) BY MOUTH EVERY NIGHT,take 1 tablet 20 mg total by mouth every night,take,0,4,take,1,,tablet,4,13, 1 tablet,20,,mg,13,19, 20 mg,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,46,every night,daily,at night,35,46,every night,,,,,,,,,,,
TAKE 1 TABLET (20 MG TOTAL) BY MOUTH 2 TIMES A DAY,take 1 tablet 20 mg total by mouth 2 times a day,take,0,4,take,1,,tablet,4,13, 1 tablet,20,,mg,13,19, 20 mg,by mouth,26,34,by mouth,2,,1,,day,,,,,,,,35,48,2 times a day,twice daily,,,,,,,,,,,,,,,
"TAKE 2 TABLETS (1,000 MG TOTAL) BY MOUTH EVERY 8 HOURS FOR 10 DAYS",take 2 tablets 1000 mg total by mouth every 8 hours for 10 days,take,0,4,take,2,,tablet,4,14, 2 tablets,1000,,mg,14,22, 1000 mg,by mouth,29,37,by mouth,1,,8,,hour,,,,,,,,38,50,every 8 hour,every 8 hours,,,,,10,,day,52,62,10 day,,,,,
TAKE 1 TABLET (75 MG TOTAL) BY MOUTH DAILY,take 1 tablet 75 mg total by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,75,,mg,13,19, 75 mg,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,40,daily,daily,,,,,,,,,,,,,,,
TAKE 1 CAPSULE (500 MG TOTAL) BY MOUTH EVERY 12 HOURS FOR 10 DAYS,take 1 capsule 500 mg total by mouth every 12 hours for 10 days,take,0,4,take,1,,capsule,4,14, 1 capsule,500,,mg,14,21, 500 mg,by mouth,28,36,by mouth,1,,12,,hour,,,,,,,,37,50,every 12 hour,every 12 hours,,,,,10,,day,52,62,10 day,,,,,
TAKE 1 TABLET (10 MG TOTAL) BY MOUTH 2 TIMES A DAY,take 1 tablet 10 mg total by mouth 2 times a day,take,0,4,take,1,,tablet,4,13, 1 tablet,10,,mg,13,19, 10 mg,by mouth,26,34,by mouth,2,,1,,day,,,,,,,,35,48,2 times a day,twice daily,,,,,,,,,,,,,,,
TAKE 1 CAPSULE (30 MG TOTAL) BY MOUTH DAILY,take 1 capsule 30 mg total by mouth daily,take,0,4,take,1,,capsule,4,14, 1 capsule,30,,mg,14,20, 30 mg,by mouth,27,35,by mouth,1,,1,,day,,,,,,,,36,41,daily,daily,,,,,,,,,,,,,,,
TAKE ONE TABLET BY MOUTH ONE TIME DAILY,take one tablet by mouth one time daily,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,16,24,by mouth,1,,1,,day,,,,,,,,25,39,one time daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (4 MG TOTAL) BY MOUTH EVERY 6 HOURS AS NEEDED FOR NAUSEA OR VOMITING FOR UP TO 7 DAYS,take 1 tablet 4 mg total by mouth every 6 hours as needed for nausea or vomiting for up to 7 days,take,0,4,take,1,,tablet,4,13, 1 tablet,4,,mg,13,18, 4 mg,by mouth,25,33,by mouth,1,,6,,hour,,,,,,,,34,46,every 6 hour,every 6 hours,,,,,,,,,,,1,"nausea,vomiting",48,97,as needed for nausea or vomiting for up to 7 days
TAKE 1 TABLET (300 MG TOTAL) BY MOUTH DAILY,take 1 tablet 300 mg total by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,300,,mg,13,20, 300 mg,by mouth,27,35,by mouth,1,,1,,day,,,,,,,,36,41,daily,daily,,,,,,,,,,,,,,,
TAKE ONE TABLET BY MOUTH TWICE A DAY,take one tablet by mouth twice a day,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,16,24,by mouth,2,,1,,day,,,,,,,,25,36,twice a day,twice daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (10 MG TOTAL) BY MOUTH EVERY EVENING,take 1 tablet 10 mg total by mouth every evening,take,0,4,take,1,,tablet,4,13, 1 tablet,10,,mg,13,19, 10 mg,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,48,every evening,daily,in the evening,35,48,every evening,,,,,,,,,,,
TAKE 500 MG BY MOUTH DAILY,take 500 mg by mouth daily,take,0,4,take,,,,,,,500,,mg,4,11, 500 mg,by mouth,12,20,by mouth,1,,1,,day,,,,,,,,21,26,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (500 MG TOTAL) BY MOUTH 2 TIMES A DAY (WITH BREAKFAST AND DINNER),take 1 tablet 500 mg total by mouth 2 times a day with breakfast and dinner,take,0,4,take,1,,tablet,4,13, 1 tablet,500,,mg,13,20, 500 mg,by mouth,27,35,by mouth,2,,1,,day,,,,,,,,36,49,2 times a day,twice daily,with breakfast,50,64,with breakfast,,,,,,,,,,,
ADMINISTER 1 DROP INTO BOTH EYES EVERY NIGHT,administer 1 drop into both eyes every night,administer,0,10,administer,1,,drops,10,17, 1 drop,,,,,,,in both eyes,18,32,into both eyes,1,,1,,day,,,,,,,,33,44,every night,daily,at night,33,44,every night,,,,,,,,,,,
INHALE 2 PUFFS EVERY 4 HOURS AS NEEDED FOR WHEEZING OR SHORTNESS OF BREATH,inhale 2 puffs every 4 hours as needed for wheezing or shortness of breath,inhale,0,6,inhale,2,,puff,6,13, 2 puff,,,,,,,via inhalation,0,6,inhale,1,,4,,hour,,,,,,,,15,27,every 4 hour,every 4 hours,,,,,,,,,,,1,"wheezing,shortness of breath",29,74,as needed for wheezing or shortness of breath
TAKE 1 CAPSULE (300 MG TOTAL) BY MOUTH 3 TIMES A DAY,take 1 capsule 300 mg total by mouth 3 times a day,take,0,4,take,1,,capsule,4,14, 1 capsule,300,,mg,14,21, 300 mg,by mouth,28,36,by mouth,3,,1,,day,,,,,,,,37,50,3 times a day,3 times per day,,,,,,,,,,,,,,,
TAKE 1 CAPSULE (0.4 MG TOTAL) BY MOUTH DAILY,take 1 capsule 0.4 mg total by mouth daily,take,0,4,take,1,,capsule,4,14, 1 capsule,0.4,,mg,14,21, 0.4 mg,by mouth,28,36,by mouth,1,,1,,day,,,,,,,,37,42,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (5 MG TOTAL) BY MOUTH EVERY 6 HOURS AS NEEDED FOR MODERATE PAIN FOR UP TO 3 DAYS,take 1 tablet 5 mg total by mouth every 6 hours as needed for moderate pain for up to 3 days,take,0,4,take,1,,tablet,4,13, 1 tablet,5,,mg,13,18, 5 mg,by mouth,25,33,by mouth,1,,6,,hour,,,,,,,,34,46,every 6 hour,every 6 hours,,,,,,,,,,,1,moderate pain,48,92,as needed for moderate pain for up to 3 days
1 SPRAY EVERY 2 MINUTES AS NEEDED UNTIL BREATHING AND RESPONSIVE. CALL 911,1 spray every 2 minutes as needed until breathing and responsive call 911,spray,2,7,spray,1,,spray,0,7,1 spray,,,,,,,,,,,1,,2,,minute,,,,,,,,8,19,every 2 min,every 2 minutes,,,,,,,,,,,1,,24,73,as needed until breathing and responsive call 911
TAKE 1 TABLET (875 MG TOTAL) BY MOUTH EVERY 12 HOURS FOR 10 DAYS,take 1 tablet 875 mg total by mouth every 12 hours for 10 days,take,0,4,take,1,,tablet,4,13, 1 tablet,875,,mg,13,20, 875 mg,by mouth,27,35,by mouth,1,,12,,hour,,,,,,,,36,49,every 12 hour,every 12 hours,,,,,10,,day,51,61,10 day,,,,,
ADMINISTER 1 SPRAY INTO EACH NOSTRIL 2 TIMES A DAY,administer 1 spray into each nostril 2 times a day,administer,0,10,administer,1,,spray,10,18, 1 spray,,,,,,,in each nostril,19,36,into each nostril,2,,1,,day,,,,,,,,37,50,2 times a day,twice daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (50 MG TOTAL) BY MOUTH EVERY NIGHT,take 1 tablet 50 mg total by mouth every night,take,0,4,take,1,,tablet,4,13, 1 tablet,50,,mg,13,19, 50 mg,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,46,every night,daily,at night,35,46,every night,,,,,,,,,,,
TAKE 1 CAPSULE (100 MG TOTAL) BY MOUTH EVERY 12 HOURS FOR 7 DAYS,take 1 capsule 100 mg total by mouth every 12 hours for 7 days,take,0,4,take,1,,capsule,4,14, 1 capsule,100,,mg,14,21, 100 mg,by mouth,28,36,by mouth,1,,12,,hour,,,,,,,,37,50,every 12 hour,every 12 hours,,,,,7,,day,52,61,7 day,,,,,
TAKE 20 MG BY MOUTH 2 TIMES A DAY,take 20 mg by mouth 2 times a day,take,0,4,take,,,,,,,20,,mg,4,10, 20 mg,by mouth,11,19,by mouth,2,,1,,day,,,,,,,,20,33,2 times a day,twice daily,,,,,,,,,,,,,,,
TAKE BY MOUTH AS NEEDED,take by mouth as needed,take,0,4,take,,,,,,,,,,,,,by mouth,5,13,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,14,23,as needed
"TAKE 1,000 MG BY MOUTH DAILY",take 1000 mg by mouth daily,take,0,4,take,,,,,,,1000,,mg,4,12, 1000 mg,by mouth,13,21,by mouth,1,,1,,day,,,,,,,,22,27,daily,daily,,,,,,,,,,,,,,,
"TAKE 2 TABLETS THE FIRST DAY, THEN 1 TABLET DAILY FOR 4 DAYS",take 2 tablets the first day then 1 tablet daily for 4 days,take,0,4,take,2,,tablet,4,14, 2 tablets,,,,,,,,,,,1,,1,,day,,,,,,,,43,48,daily,daily,,,,,4,,day,49,58,4 day,,,,,
TAKE 100 MG BY MOUTH 2 TIMES A DAY,take 100 mg by mouth 2 times a day,take,0,4,take,,,,,,,100,,mg,4,11, 100 mg,by mouth,12,20,by mouth,2,,1,,day,,,,,,,,21,34,2 times a day,twice daily,,,,,,,,,,,,,,,
TAKE 1 TABLET BY MOUTH EVERY 6 HOURS AS NEEDED FOR MODERATE PAIN,take 1 tablet by mouth every 6 hours as needed for moderate pain,take,0,4,take,1,,tablet,4,13, 1 tablet,,,,,,,by mouth,14,22,by mouth,1,,6,,hour,,,,,,,,23,35,every 6 hour,every 6 hours,,,,,,,,,,,1,moderate pain,37,64,as needed for moderate pain
TAKE 1 TABLET (40 MG TOTAL) BY MOUTH 2 TIMES A DAY,take 1 tablet 40 mg total by mouth 2 times a day,take,0,4,take,1,,tablet,4,13, 1 tablet,40,,mg,13,19, 40 mg,by mouth,26,34,by mouth,2,,1,,day,,,,,,,,35,48,2 times a day,twice daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (81 MG TOTAL) BY MOUTH DAILY,take 1 tablet 81 mg total by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,81,,mg,13,19, 81 mg,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,40,daily,daily,,,,,,,,,,,,,,,
TAKE 1 CAPSULE (60 MG TOTAL) BY MOUTH DAILY,take 1 capsule 60 mg total by mouth daily,take,0,4,take,1,,capsule,4,14, 1 capsule,60,,mg,14,20, 60 mg,by mouth,27,35,by mouth,1,,1,,day,,,,,,,,36,41,daily,daily,,,,,,,,,,,,,,,
TAKE 5 MG BY MOUTH 2 TIMES A DAY,take 5 mg by mouth 2 times a day,take,0,4,take,,,,,,,5,,mg,4,9, 5 mg,by mouth,10,18,by mouth,2,,1,,day,,,,,,,,19,32,2 times a day,twice daily,,,,,,,,,,,,,,,
TAKE BY MOUTH 2 TIMES A DAY,take by mouth 2 times a day,take,0,4,take,,,,,,,,,,,,,by mouth,5,13,by mouth,2,,1,,day,,,,,,,,14,27,2 times a day,twice daily,,,,,,,,,,,,,,,
TAKE 75 MG BY MOUTH DAILY,take 75 mg by mouth daily,take,0,4,take,,,,,,,75,,mg,4,10, 75 mg,by mouth,11,19,by mouth,1,,1,,day,,,,,,,,20,25,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (25 MG TOTAL) BY MOUTH 2 TIMES A DAY,take 1 tablet 25 mg total by mouth 2 times a day,take,0,4,take,1,,tablet,4,13, 1 tablet,25,,mg,13,19, 25 mg,by mouth,26,34,by mouth,2,,1,,day,,,,,,,,35,48,2 times a day,twice daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (2.5 MG TOTAL) BY MOUTH DAILY,take 1 tablet 2.5 mg total by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,2.5,,mg,13,20, 2.5 mg,by mouth,27,35,by mouth,1,,1,,day,,,,,,,,36,41,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (30 MG TOTAL) BY MOUTH DAILY,take 1 tablet 30 mg total by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,30,,mg,13,19, 30 mg,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,40,daily,daily,,,,,,,,,,,,,,,
TAKE 10 MG BY MOUTH EVERY NIGHT,take 10 mg by mouth every night,take,0,4,take,,,,,,,10,,mg,4,10, 10 mg,by mouth,11,19,by mouth,1,,1,,day,,,,,,,,20,31,every night,daily,at night,20,31,every night,,,,,,,,,,,
TAKE 30 MG BY MOUTH DAILY,take 30 mg by mouth daily,take,0,4,take,,,,,,,30,,mg,4,10, 30 mg,by mouth,11,19,by mouth,1,,1,,day,,,,,,,,20,25,daily,daily,,,,,,,,,,,,,,,
TAKE 15 MG BY MOUTH DAILY,take 15 mg by mouth daily,take,0,4,take,,,,,,,15,,mg,4,10, 15 mg,by mouth,11,19,by mouth,1,,1,,day,,,,,,,,20,25,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (50 MG TOTAL) BY MOUTH 2 TIMES A DAY,take 1 tablet 50 mg total by mouth 2 times a day,take,0,4,take,1,,tablet,4,13, 1 tablet,50,,mg,13,19, 50 mg,by mouth,26,34,by mouth,2,,1,,day,,,,,,,,35,48,2 times a day,twice daily,,,,,,,,,,,,,,,
TAKE 1 TABLET BY MOUTH EVERY 6 HOURS AS NEEDED FOR MODERATE PAIN FOR UP TO 3 DAYS,take 1 tablet by mouth every 6 hours as needed for moderate pain for up to 3 days,take,0,4,take,1,,tablet,4,13, 1 tablet,,,,,,,by mouth,14,22,by mouth,1,,6,,hour,,,,,,,,23,35,every 6 hour,every 6 hours,,,,,,,,,,,1,moderate pain,37,81,as needed for moderate pain for up to 3 days
INHALE 2 PUFFS 2 TIMES A DAY. RINSE MOUTH WITH WATER AFTER USE. DO NOT SWALLOW,inhale 2 puffs 2 times a day rinse mouth with water after use do not swallow,inhale,0,6,inhale,2,,puff,6,13, 2 puff,,,,,,,via inhalation,0,6,inhale,2,,1,,day,,,,,,,,15,28,2 times a day,twice daily,,,,,,,,,,,,,,,
