original_sig_text,sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
2 GRAMS QID TO AFFECTED SITE,2 grams qid to affected site,,,,,,,,,,,2,,g,0,7,2 grams,,,,,4,,1,,day,,,,,,,,8,11,qid,4 times per day,,,,,,,,,,,,,,,
2 INHALATIONS TWICE A DAY *RINSE MOUTH WITH WATER AND SPIT AFTER EACH DOSE*,2 inhalations twice a day rinse mouth with water and spit after each dose,,,,,2,,puff,0,12,2 inhalation,,,,,,,via inhalation,2,13,inhalations,2,,1,,day,,,,,,,,14,25,twice a day,twice daily,,,,,,,,,,,,,,,
2 ML TO EACH SIDE OF THE MOUTH QID. SWISH AROUND AND THEN EXPECTORATE,2 ml to each side of the mouth qid swish around and then expectorate,swish,35,40,swish,2,,mL,0,4,2 ml,,,,,,,,,,,4,,1,,day,,,,,,,,31,34,qid,4 times per day,,,,,,,,,,,,,,,
"2 PUFFS EVERY 4 HOURS AS NEEDED FOR COUGH, WHEEZING, OR SHORTNESS OF BREATH",2 puffs every 4 hours as needed for cough wheezing or shortness of breath,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,8,20,every 4 hour,every 4 hours,,,,,,,,,,,1,"cough,wheezing,shortness of breath",22,73,as needed for cough wheezing or shortness of breath
2 PUFFS EVERY 4 HOURS AS NEEDED FOR SHORTNESS OF BREATH,2 puffs every 4 hours as needed for shortness of breath,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,4,,hour,,,,,,,,8,20,every 4 hour,every 4 hours,,,,,,,,,,,1,shortness of breath,22,55,as needed for shortness of breath
2 PUFFS Q 12 HRS. RINSE MOUTH WITH WATER AFTER USE TO REDUCE AFTERTASTE AND INCIDENCE OF CANDIDIASIS. DO NOT SWALLOW,2 puffs q 12 hrs rinse mouth with water after use to reduce aftertaste and incidence of candidiasis do not swallow,use,46,49,use,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,1,,12,,hour,,,,,,,,8,16,q 12 hrs,every 12 hours,,,,,,,,,,,,,,,
2 PUFFS TWICE DAILY,2 puffs twice daily,,,,,2,,puff,0,6,2 puff,,,,,,,via inhalation,2,7,puffs,2,,1,,day,,,,,,,,8,19,twice daily,twice daily,,,,,,,,,,,,,,,
2 TIMES A DAY. TO THE AFFECTED AREA(S),2 times a day to the affected areas,,,,,,,,,,,,,,,,,,,,,2,,1,,day,,,,,,,,0,13,2 times a day,twice daily,,,,,,,,,,,,,,,
4 GRAMS TID TO EFFECTED SITE,4 grams tid to effected site,,,,,,,,,,,4,,g,0,7,4 grams,,,,,3,,1,,day,,,,,,,,8,11,tid,3 times per day,,,,,,,,,,,,,,,
4 STRIPS MISCELLANEOUS DAILY,4 strips miscellaneous daily,,,,,4,,strip,0,7,4 strip,,,,,,,miscellaneous,9,22,miscellaneous,1,,1,,day,,,,,,,,23,28,daily,daily,,,,,,,,,,,,,,,
APPLY 1 PATCH EVERY 3 DAYS,apply 1 patch every 3 days,apply,0,5,apply,1,,transdermal patch,5,13, 1 patch,,,,,,,topically,0,5,apply,1,,3,,day,,,,,,,,14,25,every 3 day,every 3 days,,,,,,,,,,,,,,,
APPLY 1 PATCH EVERY DAY,apply 1 patch every day,apply,0,5,apply,1,,transdermal patch,5,13, 1 patch,,,,,,,topically,0,5,apply,1,,1,,day,,,,,,,,14,23,every day,daily,,,,,,,,,,,,,,,
APPLY 1 PATCH TWICE WEEKLY,apply 1 patch twice weekly,apply,0,5,apply,1,,transdermal patch,5,13, 1 patch,,,,,,,topically,0,5,apply,2,,1,,week,,,,,,,,14,26,twice weekly,2 times per week,,,,,,,,,,,,,,,
APPLY 15 ML TO THE MOUTH OR THROAT 2 TIMES A DAY FOR 10 DAYS,apply 15 ml to the mouth or throat 2 times a day for 10 days,apply,0,5,apply,15,,mL,5,11, 15 ml,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,35,48,2 times a day,twice daily,,,,,10,,day,49,59,10 day,,,,,
APPLY 15 ML TO THE MOUTH OR THROAT 2 TIMES A DAY FOR 14 DAYS,apply 15 ml to the mouth or throat 2 times a day for 14 days,apply,0,5,apply,15,,mL,5,11, 15 ml,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,35,48,2 times a day,twice daily,,,,,14,,day,49,59,14 day,,,,,
APPLY 15 ML TO THE MOUTH OR THROAT 2 TIMES A DAY FOR 7 DAYS,apply 15 ml to the mouth or throat 2 times a day for 7 days,apply,0,5,apply,15,,mL,5,11, 15 ml,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,35,48,2 times a day,twice daily,,,,,7,,day,49,58,7 day,,,,,
APPLY 4 GRAMS TO ONE JOINT UP TO 4 TIMES DAILY AS NEEDED,apply 4 grams to one joint up to 4 times daily as needed,apply,0,5,apply,,,,,,,4,,g,5,13, 4 grams,topically,0,5,apply,4,,1,,day,,,,,,,,33,46,4 times daily,4 times per day,,,,,,,,,,,1,,47,56,as needed
APPLY AS NEEDED,apply as needed,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,15,as needed
APPLY AT BEDTIME,apply at bedtime,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,1,,1,,day,,,,,,,,6,16,at bedtime,daily,at bedtime,6,16,at bedtime,,,,,,,,,,,
APPLY BID,apply bid,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,6,9,bid,twice daily,,,,,,,,,,,,,,,
APPLY DAILY,apply daily,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,1,,1,,day,,,,,,,,6,11,daily,daily,,,,,,,,,,,,,,,
APPLY DAILY AS DIRECTED,apply daily as directed,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,1,,1,,day,,,,,,,,6,11,daily,daily,,,,,,,,,,,,,,,
APPLY ONCE A DAY,apply once a day,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,1,,1,,day,,,,,,,,6,16,once a day,daily,,,,,,,,,,,,,,,
APPLY ONCE DAILY,apply once daily,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,1,,1,,day,,,,,,,,6,16,once daily,daily,,,,,,,,,,,,,,,
APPLY ONCE DAILY AS DIRECTED,apply once daily as directed,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,1,,1,,day,,,,,,,,6,16,once daily,daily,,,,,,,,,,,,,,,
APPLY THREE TIMES A DAY,apply three times a day,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,3,,1,,day,,,,,,,,6,23,three times a day,3 times per day,,,,,,,,,,,,,,,
APPLY TO ABRASIONS/LACERATIONS THREE TIMES DAILY,apply to abrasions/lacerations three times daily,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,3,,1,,day,,,,,,,,31,48,three times daily,3 times per day,,,,,,,,,,,,,,,
APPLY TO AFFECTED AREAS 2 TIMES A DAY FOR 2 WEEKS AT A TIME,apply to affected areas 2 times a day for 2 weeks at a time,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,24,37,2 times a day,twice daily,,,,,2,,week,38,48,2 week,,,,,
APPLY TO AFFECTED AREAS AS NEEDED,apply to affected areas as needed,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,24,33,as needed
APPLY TO AFFECTED AREAS DAILY,apply to affected areas daily,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,1,,1,,day,,,,,,,,24,29,daily,daily,,,,,,,,,,,,,,,
APPLY TO AFFECTED AREAS TWICE A DAY,apply to affected areas twice a day,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,24,35,twice a day,twice daily,,,,,,,,,,,,,,,
APPLY TO AFFECTED AREAS TWICE DAILY,apply to affected areas twice daily,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,24,35,twice daily,twice daily,,,,,,,,,,,,,,,
APPLY TO AFFECTED AREAS TWICE DAILY AS NEEDED,apply to affected areas twice daily as needed,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,24,35,twice daily,twice daily,,,,,,,,,,,1,,36,45,as needed
APPLY TO ANAL FISSURE TWICE A DAY,apply to anal fissure twice a day,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,22,33,twice a day,twice daily,,,,,,,,,,,,,,,
APPLY TO AREA THREE TIMES A DAY,apply to area three times a day,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,3,,1,,day,,,,,,,,14,31,three times a day,3 times per day,,,,,,,,,,,,,,,
APPLY TO FEET DAILY,apply to feet daily,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,1,,1,,day,,,,,,,,14,19,daily,daily,,,,,,,,,,,,,,,
APPLY TO THE AFFECTED AREA TWICE DAILY,apply to the affected area twice daily,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,27,38,twice daily,twice daily,,,,,,,,,,,,,,,
APPLY TO WOUND DAILY,apply to wound daily,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,1,,1,,day,,,,,,,,15,20,daily,daily,,,,,,,,,,,,,,,
APPLY TO WOUNDS DAILY AFTER WASHING. COVER AS DIRECTED,apply to wounds daily after washing cover as directed,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,1,,1,,day,,,,,,,,16,21,daily,daily,,,,,,,,,,,,,,,
APPLY TO WOUNDS ONCE DAILY AFTER WASHING AND THEN COVER AS INSTRUCTED,apply to wounds once daily after washing and then cover as instructed,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,1,,1,,day,,,,,,,,16,26,once daily,daily,,,,,,,,,,,,,,,
APPLY TO WOUNDS TWICE PER DAY,apply to wounds twice per day,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,16,29,twice per day,twice daily,,,,,,,,,,,,,,,
APPLY TWICE A DAY,apply twice a day,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,6,17,twice a day,twice daily,,,,,,,,,,,,,,,
APPLY TWICE A DAY AS NEEDED,apply twice a day as needed,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,6,17,twice a day,twice daily,,,,,,,,,,,1,,18,27,as needed
APPLY TWICE DAILY,apply twice daily,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,6,17,twice daily,twice daily,,,,,,,,,,,,,,,
APPLY TWICE DAILY AS NEEDED,apply twice daily as needed,apply,0,5,apply,,,,,,,,,,,,,topically,0,5,apply,2,,1,,day,,,,,,,,6,17,twice daily,twice daily,,,,,,,,,,,1,,18,27,as needed
BY INTRAUTERINE ROUTE,by intrauterine route,,,,,,,,,,,,,,,,,in urethra,3,15,intrauterine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INH AS NEEDED,inh as needed,,,,,,,,,,,,,,,,,via inhalation,0,3,inh,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,13,as needed
INJECTIONS MONTHLY,injections monthly,,,,,,,,,,,,,,,,,via injection,0,10,injections,1,,1,,month,,,,,,,,11,18,monthly,every month,,,,,,,,,,,,,,,
INJECTIONS WEEKLY,injections weekly,,,,,,,,,,,,,,,,,via injection,0,10,injections,1,,1,,week,,,,,,,,11,17,weekly,every week,,,,,,,,,,,,,,,
OINT. APPLY TO AFFECTED AREAS TWICE DAILY,oint apply to affected areas twice daily,apply,5,10,apply,,,,,,,,,,,,,topically,5,10,apply,2,,1,,day,,,,,,,,29,40,twice daily,twice daily,,,,,,,,,,,,,,,
ONE PUFF TWICE DAILY,one puff twice daily,,,,,1,,puff,0,8,one puff,,,,,,,via inhalation,4,8,puff,2,,1,,day,,,,,,,,9,20,twice daily,twice daily,,,,,,,,,,,,,,,
SWISH AND SPIT 10 ML EVERY 4 HOURS AS NEEDED (SORE THROAT) FOR UP TO 4 DAYS,swish and spit 10 ml every 4 hours as needed sore throat for up to 4 days,swish,0,5,swish,10,,mL,14,20, 10 ml,,,,,,,swish and spit,0,14,swish and spit,1,,4,,hour,,,,,,,,21,33,every 4 hour,every 4 hours,,,,,,,,,,,1,sore throat,35,73,as needed sore throat for up to 4 days
SWISH AND SPIT 10 ML EVERY 6 HOURS AS NEEDED (PAIN IN THROAT),swish and spit 10 ml every 6 hours as needed pain in throat,swish,0,5,swish,10,,mL,14,20, 10 ml,,,,,,,swish and spit,0,14,swish and spit,1,,6,,hour,,,,,,,,21,33,every 6 hour,every 6 hours,,,,,,,,,,,1,pain,35,59,as needed pain in throat
SWISH AND SPIT 5 ML EVERY 4 HOURS AS NEEDED (THROAT PAIN),swish and spit 5 ml every 4 hours as needed throat pain,swish,0,5,swish,5,,mL,14,19, 5 ml,,,,,,,swish and spit,0,14,swish and spit,1,,4,,hour,,,,,,,,20,32,every 4 hour,every 4 hours,,,,,,,,,,,1,throat pain,34,55,as needed throat pain
TWO INHALATIONS TWICE DAILY *DNS*,two inhalations twice daily dns,,,,,2,,puff,0,14,two inhalation,,,,,,,via inhalation,4,15,inhalations,2,,1,,day,,,,,,,,16,27,twice daily,twice daily,,,,,,,,,,,,,,,
"USE 15 ML Q 6 HRS, SWISH AROUND INSIDE MOUTH AND THEN EXPECTORATE",use 15 ml q 6 hrs swish around inside mouth and then expectorate,use,0,3,use,15,,mL,3,9, 15 ml,,,,,,,,,,,1,,6,,hour,,,,,,,,10,17,q 6 hrs,every 6 hours,,,,,,,,,,,,,,,
APPLY 1 PATCH ONCE A WEEK,apply 1 patch once a week,apply,0,5,apply,1,,transdermal patch,5,13, 1 patch,,,,,,,topically,0,5,apply,1,,1,,week,,,,,,,,14,25,once a week,every week,,,,,,,,,,,,,,,
2 SPRAYS EACH NOSTRIL(DO NOT SNIFF IN LET EXCESS DRIP OUT),2 sprays each nostrildo not sniff in let excess drip out,sniff,28,33,sniff,2,,spray,0,7,2 spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
