sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
10mg by mouth daily,,,,,,,,,,,,,mg,0,4,10mg,by mouth,5,13,by mouth,1,,1,,day,,,,,,,,14,19,daily,daily,,,,,,,,,,,,,,,
(also known as prilosec) 1 capsule by mouth daily,,,,,,,capsule,24,34, 1 capsule,,,,,,,by mouth,35,43,by mouth,1,,1,,day,,,,,,,,44,49,daily,daily,,,,,,,,,,,,,,,
20mg by mouth daily,,,,,,,,,,,,,mg,0,4,20mg,by mouth,5,13,by mouth,1,,1,,day,,,,,,,,14,19,daily,daily,,,,,,,,,,,,,,,
2 spray in each nostril daily,spray,2,7,spray,,,spray,0,7,2 spray,,,,,,,in each nostril,8,23,in each nostril,1,,1,,day,,,,,,,,24,29,daily,daily,,,,,,,,,,,,,,,
1 tablet by mouth three times a day,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,3,,1,,day,,,,,,,,18,35,three times a day,3 times per day,,,,,,,,,,,,,,,
81mg by mouth daily,,,,,,,,,,,,,mg,0,4,81mg,by mouth,5,13,by mouth,1,,1,,day,,,,,,,,14,19,daily,daily,,,,,,,,,,,,,,,
2 sprays in each nostril daily,,,,,,,spray,0,7,2 spray,,,,,,,in each nostril,9,24,in each nostril,1,,1,,day,,,,,,,,25,30,daily,daily,,,,,,,,,,,,,,,
40mg by mouth daily,,,,,,,,,,,,,mg,0,4,40mg,by mouth,5,13,by mouth,1,,1,,day,,,,,,,,14,19,daily,daily,,,,,,,,,,,,,,,
(also known as lipitor) 1 tablet by mouth every evening at bedtime,,,,,,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,66,every evening at bedtime,daily,in the evening at bedtime,42,66,every evening at bedtime,,,,,,,,,,,
2 tablets by mouth daily,,,,,,,tablet,0,9,2 tablets,,,,,,,by mouth,10,18,by mouth,1,,1,,day,,,,,,,,19,24,daily,daily,,,,,,,,,,,,,,,
1 by mouth daily,,,,,,,,,,,,,,,,,by mouth,2,10,by mouth,1,,1,,day,,,,,,,,11,16,daily,daily,,,,,,,,,,,,,,,
(also known as mobic) 1 tablet by mouth daily,,,,,,,tablet,21,30, 1 tablet,,,,,,,by mouth,31,39,by mouth,1,,1,,day,,,,,,,,40,45,daily,daily,,,,,,,,,,,,,,,
1 tablet by mouth every 6 hours as needed for pain,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,,,hour,,,,,,,,18,30,every 6 hour,every hour,,,,,,,,,,,1,pain,32,50,as needed for pain
1 tablet by mouth twice a day for 10 days,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,,,1,,day,,,,,,,,18,29,twice a day,,,,,,,,day,30,40,10 day,,,,,
once daily by mouth,,,,,,,,,,,,,,,,,by mouth,11,19,by mouth,,,1,,day,,,,,,,,0,10,once daily,,,,,,,,,,,,,,,,
(also known as cozaar) 1 tablet by mouth daily,,,,,,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,41,46,daily,daily,,,,,,,,,,,,,,,
1 tablet by mouth daily for 28 days,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,1,,day,,,,,,,,18,23,daily,daily,,,,,,,day,24,34,28 day,,,,,
10mg 1 tablet by mouth daily,,,,,,,tablet,4,13, 1 tablet,,,mg,0,4,10mg,by mouth,14,22,by mouth,1,,1,,day,,,,,,,,23,28,daily,daily,,,,,,,,,,,,,,,
(also known as coreg) 1 tablet by mouth twice a day,,,,,,,tablet,21,30, 1 tablet,,,,,,,by mouth,31,39,by mouth,,,1,,day,,,,,,,,40,51,twice a day,,,,,,,,,,,,,,,,
1 spray in each nostril daily,spray,2,7,spray,,,spray,0,7,1 spray,,,,,,,in each nostril,8,23,in each nostril,1,,1,,day,,,,,,,,24,29,daily,daily,,,,,,,,,,,,,,,
81mg 1 tablet by mouth daily,,,,,,,tablet,4,13, 1 tablet,,,mg,0,4,81mg,by mouth,14,22,by mouth,1,,1,,day,,,,,,,,23,28,daily,daily,,,,,,,,,,,,,,,
take as directed,take,0,4,take,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,as directed,,,,,,,,,,,,,,,,
1 tablet by mouth every morning,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,1,,day,,,,,,,,18,31,every morning,daily,in the morning,18,31,every morning,,,,,,,,,,,
(also known as zoloft) 1 tablet by mouth daily,,,,,,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,41,46,daily,daily,,,,,,,,,,,,,,,
one tab by mouth daily,,,,,1,,tablet,0,7,one tab,,,,,,,by mouth,8,16,by mouth,1,,1,,day,,,,,,,,17,22,daily,daily,,,,,,,,,,,,,,,
(also known as flonase) 2 spray in each nostril daily,spray,26,31,spray,,,spray,23,31, 2 spray,,,,,,,in each nostril,32,47,in each nostril,1,,1,,day,,,,,,,,48,53,daily,daily,,,,,,,,,,,,,,,
10 mg by mouth daily,,,,,,,,,,,,,mg,0,5,10 mg,by mouth,6,14,by mouth,1,,1,,day,,,,,,,,15,20,daily,daily,,,,,,,,,,,,,,,
1 tablet by mouth daily for 84 days,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,1,,day,,,,,,,,18,23,daily,daily,,,,,,,day,24,34,84 day,,,,,
81 mg by mouth daily,,,,,,,,,,,,,mg,0,5,81 mg,by mouth,6,14,by mouth,1,,1,,day,,,,,,,,15,20,daily,daily,,,,,,,,,,,,,,,
20 mg by mouth daily,,,,,,,,,,,,,mg,0,5,20 mg,by mouth,6,14,by mouth,1,,1,,day,,,,,,,,15,20,daily,daily,,,,,,,,,,,,,,,
20mg 1 tablet by mouth daily,,,,,,,tablet,4,13, 1 tablet,,,mg,0,4,20mg,by mouth,14,22,by mouth,1,,1,,day,,,,,,,,23,28,daily,daily,,,,,,,,,,,,,,,
one tablet daily,,,,,1,,tablet,0,10,one tablet,,,,,,,,,,,1,,1,,day,,,,,,,,11,16,daily,daily,,,,,,,,,,,,,,,
1 tablet by mouth every 6 hours for 3 days as needed for pain,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,,,hour,,,,,,,,18,30,every 6 hour,every hour,,,,,,,day,32,41,3 day,1,pain,43,61,as needed for pain
apply a thin layer to the affected area(s) by topical route 2 times per day,apply,0,5,apply,,,,,,,,,,,,,topically,46,53,topical,,,1,,day,,,,,,,,60,75,2 times per day,,,,,,,,,,,,,,,,
40mg 1 tablet by mouth daily,,,,,,,tablet,4,13, 1 tablet,,,mg,0,4,40mg,by mouth,14,22,by mouth,1,,1,,day,,,,,,,,23,28,daily,daily,,,,,,,,,,,,,,,
40 mg by mouth daily,,,,,,,,,,,,,mg,0,5,40 mg,by mouth,6,14,by mouth,1,,1,,day,,,,,,,,15,20,daily,daily,,,,,,,,,,,,,,,
2 tablets by mouth twice a day,,,,,,,tablet,0,9,2 tablets,,,,,,,by mouth,10,18,by mouth,,,1,,day,,,,,,,,19,30,twice a day,,,,,,,,,,,,,,,,
1 tablet by mouth once daily,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,,,1,,day,,,,,,,,18,28,once daily,,,,,,,,,,,,,,,,
"81 mg orally once daily, in the morning",,,,,,,,,,,,,mg,0,5,81 mg,by mouth,6,12,orally,,,1,,day,,,,,,,,13,23,once daily,,in the morning,25,39,in the morning,,,,,,,,,,,
(also known as neurontin) 1 capsule by mouth three times a day,,,,,,,capsule,25,35, 1 capsule,,,,,,,by mouth,36,44,by mouth,3,,1,,day,,,,,,,,45,62,three times a day,3 times per day,,,,,,,,,,,,,,,
(also known as toprol xl) 1 tablet by mouth daily,,,,,,,tablet,25,34, 1 tablet,,,,,,,by mouth,35,43,by mouth,1,,1,,day,,,,,,,,44,49,daily,daily,,,,,,,,,,,,,,,
4000 milliliters by mouth one time only,,,,,,,mL,0,15,4000 milliliter,,,,,,,by mouth,17,25,by mouth,,,,,,,,,,,,1,26,39,one time only,once,,,,,,,,,,,,,,,
(also known as lasix) 1 tablet by mouth daily,,,,,,,tablet,21,30, 1 tablet,,,,,,,by mouth,31,39,by mouth,1,,1,,day,,,,,,,,40,45,daily,daily,,,,,,,,,,,,,,,
take 2 tablets (500 mg) by oral route once daily for 1 day then 1 tablet (250 mg) by oral route once daily for 4 days,take,0,4,take,,,tablet,4,14, 2 tablets,,,mg,14,22, (500 mg,by mouth,27,31,oral,,,1,,day,,,,,,,,38,48,once daily,,,,,,,,day,49,58,1 day,,,,,
(also known as celexa) 1 tablet by mouth daily,,,,,,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,41,46,daily,daily,,,,,,,,,,,,,,,
(also known as plavix) 1 tablet by mouth daily,,,,,,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,41,46,daily,daily,,,,,,,,,,,,,,,
2 sprays in each nostril twice a day,,,,,,,spray,0,7,2 spray,,,,,,,in each nostril,9,24,in each nostril,,,1,,day,,,,,,,,25,36,twice a day,,,,,,,,,,,,,,,,
(also known as aldactone) 1 tablet by mouth daily,,,,,,,tablet,25,34, 1 tablet,,,,,,,by mouth,35,43,by mouth,1,,1,,day,,,,,,,,44,49,daily,daily,,,,,,,,,,,,,,,
1 tablet by mouth every 12 hours,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,,,hour,,,,,,,,18,31,every 12 hour,every hour,,,,,,,,,,,,,,,
1 tablet by mouth every 6 hours for 5 days as needed for pain,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,,,hour,,,,,,,,18,30,every 6 hour,every hour,,,,,,,day,32,41,5 day,1,pain,43,61,as needed for pain
2 puffs from the inhaler every 4 hours as needed for wheezing,,,,,,,puff,0,6,2 puff,,,,,,,via inhalation,8,24,from the inhaler,1,,,,hour,,,,,,,,25,37,every 4 hour,every hour,,,,,,,,,,,1,wheezing,39,61,as needed for wheezing
5mg by mouth daily,,,,,,,,,,,,,mg,0,3,5mg,by mouth,4,12,by mouth,1,,1,,day,,,,,,,,13,18,daily,daily,,,,,,,,,,,,,,,
(also known as flonase) 2 sprays in each nostril daily,,,,,,,spray,23,31, 2 spray,,,,,,,in each nostril,33,48,in each nostril,1,,1,,day,,,,,,,,49,54,daily,daily,,,,,,,,,,,,,,,
(also known as zestril) 1 tablet by mouth daily,,,,,,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
by mouth once daily,,,,,,,,,,,,,,,,,by mouth,0,8,by mouth,,,1,,day,,,,,,,,9,19,once daily,,,,,,,,,,,,,,,,
1 tablet by mouth every 6 hours for 7 days as needed for pain,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,,,hour,,,,,,,,18,30,every 6 hour,every hour,,,,,,,day,32,41,7 day,1,pain,43,61,as needed for pain
1 puff from the inhaler twice a day,,,,,,,puff,0,6,1 puff,,,,,,,via inhalation,7,23,from the inhaler,,,1,,day,,,,,,,,24,35,twice a day,,,,,,,,,,,,,,,,
(also known as protonix) 1 tablet by mouth daily,,,,,,,tablet,24,33, 1 tablet,,,,,,,by mouth,34,42,by mouth,1,,1,,day,,,,,,,,43,48,daily,daily,,,,,,,,,,,,,,,
1 tablet by mouth every 4 hours as needed for pain,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,,,hour,,,,,,,,18,30,every 4 hour,every hour,,,,,,,,,,,1,pain,32,50,as needed for pain
100mg by mouth daily,,,,,,,,,,,,,mg,0,5,100mg,by mouth,6,14,by mouth,1,,1,,day,,,,,,,,15,20,daily,daily,,,,,,,,,,,,,,,
1 tablet by mouth twice a day for 7 days,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,,,1,,day,,,,,,,,18,29,twice a day,,,,,,,,day,30,39,7 day,,,,,
0.5 tablet by mouth daily,,,,,0.5,,tablet,0,10,0.5 tablet,,,,,,,by mouth,11,19,by mouth,1,,1,,day,,,,,,,,20,25,daily,daily,,,,,,,,,,,,,,,
1 tablet by mouth daily as needed,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,1,,day,,,,,,,,18,23,daily,daily,,,,,,,,,,,1,,24,33,as needed
(also known as lexapro) 1 tablet by mouth daily,,,,,,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
(also known as glucophage) 1 tablet by mouth twice a day,,,,,,,tablet,26,35, 1 tablet,,,,,,,by mouth,36,44,by mouth,,,1,,day,,,,,,,,45,56,twice a day,,,,,,,,,,,,,,,,
(also known as singulair) 1 tablet by mouth daily,,,,,,,tablet,25,34, 1 tablet,,,,,,,by mouth,35,43,by mouth,1,,1,,day,,,,,,,,44,49,daily,daily,,,,,,,,,,,,,,,
2 puffs from the inhaler every 4 hours as needed,,,,,,,puff,0,6,2 puff,,,,,,,via inhalation,8,24,from the inhaler,1,,,,hour,,,,,,,,25,37,every 4 hour,every hour,,,,,,,,,,,1,,39,48,as needed
10mg 1 tab by mouth daily,,,,,,,tablet,4,10, 1 tab,,,mg,0,4,10mg,by mouth,11,19,by mouth,1,,1,,day,,,,,,,,20,25,daily,daily,,,,,,,,,,,,,,,
1 capsule by mouth twice a day for 10 days,,,,,,,capsule,0,9,1 capsule,,,,,,,by mouth,10,18,by mouth,,,1,,day,,,,,,,,19,30,twice a day,,,,,,,,day,31,41,10 day,,,,,
(also known as zocor) 1 tablet by mouth every evening at bedtime,,,,,,,tablet,21,30, 1 tablet,,,,,,,by mouth,31,39,by mouth,1,,1,,day,,,,,,,,40,64,every evening at bedtime,daily,in the evening at bedtime,40,64,every evening at bedtime,,,,,,,,,,,
10 mg 1 tablet by mouth daily,,,,,,,tablet,5,14, 1 tablet,,,mg,0,5,10 mg,by mouth,15,23,by mouth,1,,1,,day,,,,,,,,24,29,daily,daily,,,,,,,,,,,,,,,
1 capsule by mouth every week,,,,,,,capsule,0,9,1 capsule,,,,,,,by mouth,10,18,by mouth,1,,1,,week,,,,,,,,19,29,every week,every week,,,,,,,,,,,,,,,
25mg by mouth daily,,,,,,,,,,,,,mg,0,4,25mg,by mouth,5,13,by mouth,1,,1,,day,,,,,,,,14,19,daily,daily,,,,,,,,,,,,,,,
81 mg 1 tablet by mouth daily,,,,,,,tablet,5,14, 1 tablet,,,mg,0,5,81 mg,by mouth,15,23,by mouth,1,,1,,day,,,,,,,,24,29,daily,daily,,,,,,,,,,,,,,,
inhaler as needed,,,,,,,,,,,,,,,,,via inhalation,0,7,inhaler,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,8,17,as needed
50mg by mouth daily,,,,,,,,,,,,,mg,0,4,50mg,by mouth,5,13,by mouth,1,,1,,day,,,,,,,,14,19,daily,daily,,,,,,,,,,,,,,,
1 tablet by mouth every 6 hours as needed for nausea,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,,,hour,,,,,,,,18,30,every 6 hour,every hour,,,,,,,,,,,1,nausea,32,52,as needed for nausea
(also known as augmentin) 1 tablet by mouth twice a day for 10 days,,,,,,,tablet,25,34, 1 tablet,,,,,,,by mouth,35,43,by mouth,,,1,,day,,,,,,,,44,55,twice a day,,,,,,,,day,56,66,10 day,,,,,
1 spray in each nostril twice a day,spray,2,7,spray,,,spray,0,7,1 spray,,,,,,,in each nostril,8,23,in each nostril,,,1,,day,,,,,,,,24,35,twice a day,,,,,,,,,,,,,,,,
2 puffs from the inhaler every 4 hours as needed for shortness of breath,,,,,,,puff,0,6,2 puff,,,,,,,via inhalation,8,24,from the inhaler,1,,,,hour,,,,,,,,25,37,every 4 hour,every hour,,,,,,,,,,,1,shortness of breath,39,72,as needed for shortness of breath
as needed for pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain,0,18,as needed for pain
1 tablet by mouth every evening,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,1,,day,,,,,,,,18,31,every evening,daily,in the evening,18,31,every evening,,,,,,,,,,,
0.5 tablet by mouth twice a day,,,,,0.5,,tablet,0,10,0.5 tablet,,,,,,,by mouth,11,19,by mouth,,,1,,day,,,,,,,,20,31,twice a day,,,,,,,,,,,,,,,,
1 tablet by mouth daily for 30 day(s),,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,1,,day,,,,,,,,18,23,daily,daily,,,,,,,day,24,34,30 day,,,,,
(also known as zocor) 1 tablet by mouth daily,,,,,,,tablet,21,30, 1 tablet,,,,,,,by mouth,31,39,by mouth,1,,1,,day,,,,,,,,40,45,daily,daily,,,,,,,,,,,,,,,
1 tablet by mouth every 4 hours for 7 days as needed for pain,,,,,,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,,,hour,,,,,,,,18,30,every 4 hour,every hour,,,,,,,day,32,41,7 day,1,pain,43,61,as needed for pain
(also known as tenormin) 1 tablet by mouth daily,,,,,,,tablet,24,33, 1 tablet,,,,,,,by mouth,34,42,by mouth,1,,1,,day,,,,,,,,43,48,daily,daily,,,,,,,,,,,,,,,
650 mg orally every 6 hours as needed,,,,,,,,,,,,,mg,0,6,650 mg,by mouth,7,13,orally,1,,,,hour,,,,,,,,14,26,every 6 hour,every hour,,,,,,,,,,,1,,28,37,as needed
