sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
prn mild pain (1-5/10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,mild pain,0,22,prn mild pain (1-5/10)
prn moderate-severe pain (6-10/10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,moderate to severe pain,0,34,prn moderate-severe pain (6-10/10)
"prn only to be given for wound vac changes, 30 minutes prior to change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,71,"prn only to be given for wound vac changes, 30 minutes prior to change."
prn pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain,0,8,prn pain
"prn pain 1-5 on pain scale, until discontinued",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain score 1-5,pain",0,46,"prn pain 1-5 on pain scale, until discontinued"
prn pain 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score 6-10,0,13,prn pain 6-10
prn pain scale 1-2 / 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score 1-2,0,23,prn pain scale 1-2 / 10
prn pain scale 1-2 / 10; do not give for fever without first notifying md,give,32,36,give,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain score 1-2,fever",0,73,prn pain scale 1-2 / 10; do not give for fever without first notifying md
prn pain scale 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score 3-6,0,18,prn pain scale 3-6
prn pain scale 3-6 / 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score 3-6,0,23,prn pain scale 3-6 / 10
prn pain scale 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score 7-10,0,19,prn pain scale 7-10
prn pain scale 7-10 / 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score 7-10,0,24,prn pain scale 7-10 / 10
prn pain score 1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score 1-4,0,18,prn pain score 1-4
prn pain score 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score 3-6,0,18,prn pain score 3-6
prn pain score 4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score 4-7,0,18,prn pain score 4-7
prn pain score 5-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score 5-10,0,19,prn pain score 5-10
prn pain score 6-8 on 1-10 scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score 6-8,0,32,prn pain score 6-8 on 1-10 scale
prn pain score 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score 7-10,0,19,prn pain score 7-10
prn pain score 7-10 and able to take oral medications,take,32,36,take,,,,,,,,,,,,,by mouth,37,41,oral,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score 7-10,0,53,prn pain score 7-10 and able to take oral medications
prn pain score 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score 8-10,0,19,prn pain score 8-10
prn pain score greater than or equal to 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score greater than or equal to 5,0,41,prn pain score greater than or equal to 5
prn pain unrelieved by po medications or unable to take po (pain scale 7-10 / 10),take,51,55,take,,,,,,,,,,,,,by mouth,23,25,po,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain unrelieved by PO medications,pain score 7-10,unable to take po",0,81,prn pain unrelieved by po medications or unable to take po (pain scale 7-10 / 10)
prn pain/agitation (5th line),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain,agitation",0,29,prn pain/agitation (5th line)
"prn prn headache/ pain score 1-4, or if pt declines opioids",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain score 1-4,headache",0,59,"prn prn headache/ pain score 1-4, or if pt declines opioids"
prn to reach goal cpot less than or equal to 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,46,prn to reach goal cpot less than or equal to 3
prn 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,5,prn 1
prn 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,5,prn 3
prn 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,6,prn 25
prn 780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,7,prn 780
prn 1 by mouth daily,,,,,,,,,,,,,,,,,by mouth,6,14,by mouth,1,,1,,day,,,,,,,,15,20,daily,daily,,,,,,,,,,,1,,0,20,prn 1 by mouth daily
prn 1 po daily,,,,,,,,,,,,,,,,,by mouth,6,8,po,1,,1,,day,,,,,,,,9,14,daily,daily,,,,,,,,,,,1,,0,14,prn 1 po daily
prn 10 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,11,prn 10 days
prn 10 days as needed for pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain,0,30,prn 10 days as needed for pain
prn 14 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,11,prn 14 days
prn 14 days as needed for pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain,0,30,prn 14 days as needed for pain
prn 2 day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,9,prn 2 day
prn 2 days as needed for pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain,0,29,prn 2 days as needed for pain
prn 2 wks at a time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,19,prn 2 wks at a time
prn 3 days as needed for dysuria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,dysuria,0,32,prn 3 days as needed for dysuria
prn 3 days as needed for nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nausea,0,31,prn 3 days as needed for nausea
prn 3 days as needed for pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain,0,29,prn 3 days as needed for pain
prn 5 day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,9,prn 5 day
prn 5 days as needed for pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain,0,29,prn 5 days as needed for pain
prn 6 months as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,22,prn 6 months as needed
prn 7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,10,prn 7 days
prn 7 days as needed for bladder spasms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,bladder spasm,0,39,prn 7 days as needed for bladder spasms
prn 7 days as needed for pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain,0,29,prn 7 days as needed for pain
prn abdominal pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,abdominal pain,0,18,prn abdominal pain
prn acne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,acne,0,8,prn acne
prn acute migraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,acute migraine,0,18,prn acute migraine
prn administer if ear starts draining,administer,4,14,administer,,,,,,,,,,,,,in ear(s),18,21,ear,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,37,prn administer if ear starts draining
prn agitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,agitation,0,13,prn agitation
prn allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,allergic reaction,0,21,prn allergic reaction
prn allergies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,allergies,0,13,prn allergies
prn allergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,allergy,0,11,prn allergy
prn allergy symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,allergy,0,20,prn allergy symptoms
prn anaphylaxis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,anaphylaxis,0,15,prn anaphylaxis
prn and directed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,16,prn and directed
prn anxiety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,anxiety,0,11,prn anxiety
prn approximately 1 hour before sexual activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,sexual activity,0,47,prn approximately 1 hour before sexual activity
prn arthritis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,arthritis,0,13,prn arthritis
prn arthritis pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"arthritis pain,arthritis",0,18,prn arthritis pain
prn as directed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,as directed,,,,,,,,,,,,1,,0,15,prn as directed
prn as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,13,prn as needed
prn as needed for anaphylaxis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,anaphylaxis,0,29,prn as needed for anaphylaxis
prn as needed for cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,cough,0,23,prn as needed for cough
prn as needed for headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,headache,0,26,prn as needed for headache
prn as needed for headaches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,headache,0,27,prn as needed for headaches
prn as needed for insomnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,insomnia,0,26,prn as needed for insomnia
prn as needed for intercourse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,intercourse,0,29,prn as needed for intercourse
prn as needed for migraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,migraine,0,26,prn as needed for migraine
prn as needed for muscle spasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,muscle spasm,0,30,prn as needed for muscle spasm
prn as needed for nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nausea,0,24,prn as needed for nausea
prn as needed for one hour prior to intercourse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,intercourse,0,47,prn as needed for one hour prior to intercourse
prn as needed for pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain,0,22,prn as needed for pain
prn as needed for seizures lasting more than 5 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,seizures lasting more than,0,54,prn as needed for seizures lasting more than 5 minutes
prn as needed for severe hypoglycemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,severe hypoglycemia,0,37,prn as needed for severe hypoglycemia
prn as needed for shortness of breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,shortness of breath,0,37,prn as needed for shortness of breath
prn as needed for tonic clonic seizures lasting longer than 5 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,seizures lasting longer than,0,69,prn as needed for tonic clonic seizures lasting longer than 5 minutes
prn as needed for wheezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,wheezing,0,26,prn as needed for wheezing
prn asthma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,asthma,0,10,prn asthma
prn asthma symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,asthma,0,19,prn asthma symptoms
prn at bedtime,,,,,,,,,,,,,,,,,,,,,1,,1,,day,,,,,,,,4,14,at bedtime,daily,at bedtime,4,14,at bedtime,,,,,,,1,,0,14,prn at bedtime
prn at night,,,,,,,,,,,,,,,,,,,,,1,,1,,day,,,,,,,,4,12,at night,daily,at night,4,12,at night,,,,,,,1,,0,12,prn at night
prn back pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,back pain,0,13,prn back pain
prn based on sx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,15,prn based on sx
prn bedwetting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,bedwetting,0,14,prn bedwetting
prn bee stings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,bee sting,0,14,prn bee stings
prn bladder irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,bladder irritation,0,22,prn bladder irritation
prn bladder pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain,0,16,prn bladder pain
prn bladder spasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,bladder spasm,0,17,prn bladder spasm
prn bladder spasm pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain,bladder spasm",0,22,prn bladder spasm pain
prn bladder spasms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,bladder spasm,0,18,prn bladder spasms
prn blood sugar less than 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,blood sugar less than,0,28,prn blood sugar less than 70
prn both eyes,,,,,,,,,,,,,,,,,in both eyes,4,13,both eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,13,prn both eyes
prn breakthrough pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,breakthrough pain,0,21,prn breakthrough pain
prn bs less than 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,19,prn bs less than 60
prn bulizer as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,21,prn bulizer as needed
prn bulizer every 4 hours as needed,,,,,,,,,,,,,,,,,,,,,1,,4,,hour,,,,,,,,12,24,every 4 hour,every 4 hours,,,,,,,,,,,1,,0,35,prn bulizer every 4 hours as needed
prn bulizer every 6 hours as needed,,,,,,,,,,,,,,,,,,,,,1,,6,,hour,,,,,,,,12,24,every 6 hour,every 6 hours,,,,,,,,,,,1,,0,35,prn bulizer every 6 hours as needed
prn bulizer every four hours as needed,,,,,,,,,,,,,,,,,,,,,1,,4,,hour,,,,,,,,12,27,every four hour,every 4 hours,,,,,,,,,,,1,,0,38,prn bulizer every four hours as needed
prn burning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,11,prn burning
prn burning with urination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,burning with urination,0,26,prn burning with urination
prn by mouth,,,,,,,,,,,,,,,,,by mouth,4,12,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,12,prn by mouth
prn by mouth,,,,,,,,,,,,,,,,,by mouth,4,12,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,12,prn by mouth
prn by mouth daily,,,,,,,,,,,,,,,,,by mouth,4,12,by mouth,1,,1,,day,,,,,,,,13,18,daily,daily,,,,,,,,,,,1,,0,18,prn by mouth daily
prn by mouth for pain,,,,,,,,,,,,,,,,,by mouth,4,12,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain,0,21,prn by mouth for pain
prn chest pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain,chest pain",0,14,prn chest pain
prn chest pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain,chest pain",0,14,prn chest pain
prn chest pain for a total of 3 tablets in 24 hours,,,,,3,,tablet,29,39, 3 tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain,chest pain",0,51,prn chest pain for a total of 3 tablets in 24 hours
prn cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,cold,0,8,prn cold
prn cold sore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,cold sore,0,13,prn cold sore
prn cold sores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,cold sore,0,14,prn cold sores
prn congestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,congestion,0,14,prn congestion
prn constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,constipation,0,16,prn constipation
prn constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,constipation,0,16,prn constipation
prn cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,cough,0,9,prn cough
prn cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,cough,0,9,prn cough
prn cough and congestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"cough,congestion",0,24,prn cough and congestion
prn cough and wheezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"cough,wheezing",0,22,prn cough and wheezing
prn cough for up to 7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,cough,0,26,prn cough for up to 7 days
prn cough or difficulty breathing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"cough,difficulty breathing",0,33,prn cough or difficulty breathing
prn cough or shortness of breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"cough,shortness of breath",0,32,prn cough or shortness of breath
prn cough or wheeze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"cough,wheeze",0,19,prn cough or wheeze
prn cough or wheezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"cough,wheezing",0,21,prn cough or wheezing
prn cough with spacer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,cough,0,21,prn cough with spacer
prn coughing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,cough,0,12,prn coughing
prn cramping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,cramping,0,12,prn cramping
prn cramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,10,prn cramps
prn cravings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,cravings,0,12,prn cravings
