original_sig_text,sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
0.5 (ONE HALF) TABLET BY MOUTH EVERY 12 HOURS,0.5 one half tablet by mouth every 12 hours,,,,,0.5,,tablet,3,19, one half tablet,,,,,,,by mouth,13,19,tablet,1,,12,,hour,,,,,,,,29,42,every 12 hour,every 12 hours,,,,,,,,,,,,,,,
0.5 (ONE HALF) TABLET BY MOUTH EVERY 6 HOURS AS NEEDED FOR NAUSEA,0.5 one half tablet by mouth every 6 hours as needed for nausea,,,,,0.5,,tablet,3,19, one half tablet,,,,,,,by mouth,13,19,tablet,1,,6,,hour,,,,,,,,29,41,every 6 hour,every 6 hours,,,,,,,,,,,1,nausea,43,63,as needed for nausea
0.5 (ONE HALF) TABLET BY MOUTH EVERY 6 HOURS AS NEEDED FOR PAIN,0.5 one half tablet by mouth every 6 hours as needed for pain,,,,,0.5,,tablet,3,19, one half tablet,,,,,,,by mouth,13,19,tablet,1,,6,,hour,,,,,,,,29,41,every 6 hour,every 6 hours,,,,,,,,,,,1,pain,43,61,as needed for pain
0.5 (ONE HALF) TABLET BY MOUTH EVERY EVENING,0.5 one half tablet by mouth every evening,,,,,0.5,,tablet,3,19, one half tablet,,,,,,,by mouth,13,19,tablet,1,,1,,day,,,,,,,,29,42,every evening,daily,in the evening,29,42,every evening,,,,,,,,,,,
0.5 (ONE HALF) TABLET BY MOUTH EVERY EVENING AT BEDTIME,0.5 one half tablet by mouth every evening at bedtime,,,,,0.5,,tablet,3,19, one half tablet,,,,,,,by mouth,13,19,tablet,1,,1,,day,,,,,,,,29,53,every evening at bedtime,daily,in the evening at bedtime,29,53,every evening at bedtime,,,,,,,,,,,
0.5 (ONE HALF) TABLET BY MOUTH EVERY EVENING AT BEDTIME AS NEEDED FOR INSOMNIA,0.5 one half tablet by mouth every evening at bedtime as needed for insomnia,,,,,0.5,,tablet,3,19, one half tablet,,,,,,,by mouth,13,19,tablet,1,,1,,day,,,,,,,,29,53,every evening at bedtime,daily,in the evening at bedtime,29,53,every evening at bedtime,,,,,,,1,insomnia,54,76,as needed for insomnia
0.5 (ONE HALF) TABLET BY MOUTH EVERY MORNING,0.5 one half tablet by mouth every morning,,,,,0.5,,tablet,3,19, one half tablet,,,,,,,by mouth,13,19,tablet,1,,1,,day,,,,,,,,29,42,every morning,daily,in the morning,29,42,every morning,,,,,,,,,,,
0.5 (ONE HALF) TABLET BY MOUTH EVERY OTHER DAY,0.5 one half tablet by mouth every other day,,,,,0.5,,tablet,3,19, one half tablet,,,,,,,by mouth,13,19,tablet,1,,1,,day,,,,,,,,41,44,day,daily,,,,,,,,,,,,,,,
0.5 (ONE HALF) TABLET BY MOUTH THREE TIMES A DAY,0.5 one half tablet by mouth three times a day,,,,,0.5,,tablet,3,19, one half tablet,,,,,,,by mouth,13,19,tablet,1,,1,,day,,,,,,,,41,46,a day,daily,,,,,,,,,,,,,,,
0.5 (ONE HALF) TABLET BY MOUTH TWICE A DAY,0.5 one half tablet by mouth twice a day,,,,,0.5,,tablet,3,19, one half tablet,,,,,,,by mouth,13,19,tablet,1,,1,,day,,,,,,,,35,40,a day,daily,,,,,,,,,,,,,,,
0.5 (ONE HALF) TABLET BY MOUTH TWICE A DAY AS NEEDED FOR ANXIETY,0.5 one half tablet by mouth twice a day as needed for anxiety,,,,,0.5,,tablet,3,19, one half tablet,,,,,,,by mouth,13,19,tablet,1,,1,,day,,,,,,,,35,40,a day,daily,,,,,,,,,,,1,anxiety,41,62,as needed for anxiety
0.65 (ZERO POINT SIX FIVE) MILLILITERS SUBCUTANEOUSLY ONE TIME ONLY,0.65 zero point six five milliliters subcutaneously one time only,,,,,5,,mL,19,35, five milliliter,,,,,,,subcutaneously,37,51,subcutaneously,,,,,,,,,,,,1,52,65,one time only,once,,,,,,,,,,,,,,,
1.2 (ONE POINT TWO) MILLIGRAMS SUBCUTANEOUSLY DAILY,1.2 one point two milligrams subcutaneously daily,,,,,,,,,,,1.2,,mg,3,28, one point two milligrams,subcutaneously,29,43,subcutaneously,1,,1,,day,,,,,,,,44,49,daily,daily,,,,,,,,,,,,,,,
1.8 (ONE POINT EIGHT) MILLIGRAMS SUBCUTANEOUSLY DAILY,1.8 one point eight milligrams subcutaneously daily,,,,,,,,,,,1.8,,mg,3,30, one point eight milligrams,subcutaneously,31,45,subcutaneously,1,,1,,day,,,,,,,,46,51,daily,daily,,,,,,,,,,,,,,,
17 (SEVENTEEN) GRAM BY MOUTH DAILY,17 seventeen gram by mouth daily,,,,,,,,,,,17,,g,2,17, seventeen gram,by mouth,18,26,by mouth,1,,1,,day,,,,,,,,27,32,daily,daily,,,,,,,,,,,,,,,
17 (SEVENTEEN) GRAM BY MOUTH DAILY AS NEEDED FOR CONSTIPATION,17 seventeen gram by mouth daily as needed for constipation,,,,,,,,,,,17,,g,2,17, seventeen gram,by mouth,18,26,by mouth,1,,1,,day,,,,,,,,27,32,daily,daily,,,,,,,,,,,1,constipation,33,59,as needed for constipation
17 (SEVENTEEN) GRAM BY MOUTH TWICE A DAY,17 seventeen gram by mouth twice a day,,,,,,,,,,,17,,g,2,17, seventeen gram,by mouth,18,26,by mouth,1,,1,,day,,,,,,,,33,38,a day,daily,,,,,,,,,,,,,,,
17 (SEVENTEEN) GRAMS BY MOUTH DAILY,17 seventeen grams by mouth daily,,,,,,,,,,,17,,g,2,18, seventeen grams,by mouth,19,27,by mouth,1,,1,,day,,,,,,,,28,33,daily,daily,,,,,,,,,,,,,,,
2.5 (TWO AND ONE HALF) MILLILITERS BY MOUTH DAILY,2.5 two and one half milliliters by mouth daily,,,,,2.5,,mL,3,31, two and one half milliliter,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
2.5 (TWO AND ONE HALF) MILLILITERS BY MOUTH TWICE A DAY,2.5 two and one half milliliters by mouth twice a day,,,,,2.5,,mL,3,31, two and one half milliliter,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,48,53,a day,daily,,,,,,,,,,,,,,,
2.5 (TWO AND ONE HALF) TABLETS BY MOUTH DAILY,2.5 two and one half tablets by mouth daily,,,,,2.5,,tablet,3,28, two and one half tablets,,,,,,,by mouth,21,28,tablets,1,,1,,day,,,,,,,,38,43,daily,daily,,,,,,,,,,,,,,,
2.5 (TWO AND ONE HALF) TABLETS BY MOUTH EVERY EVENING AT BEDTIME,2.5 two and one half tablets by mouth every evening at bedtime,,,,,2.5,,tablet,3,28, two and one half tablets,,,,,,,by mouth,21,28,tablets,1,,1,,day,,,,,,,,38,62,every evening at bedtime,daily,in the evening at bedtime,38,62,every evening at bedtime,,,,,,,,,,,
2.5 (TWO AND ONE HALF) TABLETS BY MOUTH TWICE A DAY,2.5 two and one half tablets by mouth twice a day,,,,,2.5,,tablet,3,28, two and one half tablets,,,,,,,by mouth,21,28,tablets,1,,1,,day,,,,,,,,44,49,a day,daily,,,,,,,,,,,,,,,
3.5 (THREE AND ONE HALF) TABLETS BY MOUTH DAILY,3.5 three and one half tablets by mouth daily,,,,,3.5,,tablet,3,30, three and one half tablets,,,,,,,by mouth,23,30,tablets,1,,1,,day,,,,,,,,40,45,daily,daily,,,,,,,,,,,,,,,
7.5 (SEVEN AND ONE HALF) MILLILITERS BY MOUTH TWICE A DAY FOR TEN DAYS,7.5 seven and one half milliliters by mouth twice a day for ten days,,,,,7.5,,mL,3,33, seven and one half milliliter,,,,,,,by mouth,35,43,by mouth,1,,1,,day,,,,,,,,50,55,a day,daily,,,,,10,,day,56,67,ten day,,,,,
L0MG PO DAILY,l0mg po daily,,,,,,,,,,,0,,mg,1,4,0mg,by mouth,5,7,po,1,,1,,day,,,,,,,,8,13,daily,daily,,,,,,,,,,,,,,,
TAKE 0.5 (ONE HALF) TABLET BY MOUTH DAILY,take 0.5 one half tablet by mouth daily,take,0,4,take,0.5,,tablet,8,24, one half tablet,,,,,,,by mouth,18,24,tablet,1,,1,,day,,,,,,,,34,39,daily,daily,,,,,,,,,,,,,,,
TAKE ONE HALF TABLET BY MOUTH DAILY,take one half tablet by mouth daily,take,0,4,take,0.5,,tablet,4,20, one half tablet,,,,,,,by mouth,14,20,tablet,1,,1,,day,,,,,,,,30,35,daily,daily,,,,,,,,,,,,,,,
TAKE ONE HALF TABLET BY MOUTH EVERY DAY,take one half tablet by mouth every day,take,0,4,take,0.5,,tablet,4,20, one half tablet,,,,,,,by mouth,14,20,tablet,1,,1,,day,,,,,,,,36,39,day,daily,,,,,,,,,,,,,,,
TAKE ONE HALF TABLET BY MOUTH TWICE DAILY,take one half tablet by mouth twice daily,take,0,4,take,0.5,,tablet,4,20, one half tablet,,,,,,,by mouth,14,20,tablet,2,,1,,day,,,,,,,,30,41,twice daily,twice daily,,,,,,,,,,,,,,,
0.25 (ONE QUARTER) TABLET BY MOUTH DAILY,0.25 one quarter tablet by mouth daily,,,,,0.25,,tablet,4,23, one quarter tablet,,,,,,,by mouth,17,23,tablet,1,,1,,day,,,,,,,,33,38,daily,daily,,,,,,,,,,,,,,,
0.5 (ONE HALF) TABLET BY MOUTH DAILY,0.5 one half tablet by mouth daily,,,,,0.5,,tablet,3,19, one half tablet,,,,,,,by mouth,13,19,tablet,1,,1,,day,,,,,,,,29,34,daily,daily,,,,,,,,,,,,,,,
