original_sig_text,sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
.5 TABLET BY MOUTH DAILY,.5 tablet by mouth daily,,,,,0.5,,tablet,0,9,.5 tablet,,,,,,,by mouth,10,18,by mouth,1,,1,,day,,,,,,,,19,24,daily,daily,,,,,,,,,,,,,,,
.5MG AS NEEDED,.5mg as needed,,,,,,,,,,,0.5,,mg,0,4,.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,14,as needed
.5MG BY MOUTH DAILY,.5mg by mouth daily,,,,,,,,,,,0.5,,mg,0,4,.5mg,by mouth,5,13,by mouth,1,,1,,day,,,,,,,,14,19,daily,daily,,,,,,,,,,,,,,,
.5MG DAILY,.5mg daily,,,,,,,,,,,0.5,,mg,0,4,.5mg,,,,,1,,1,,day,,,,,,,,5,10,daily,daily,,,,,,,,,,,,,,,
.5MG ONCE DAILY,.5mg once daily,,,,,,,,,,,0.5,,mg,0,4,.5mg,,,,,1,,1,,day,,,,,,,,5,15,once daily,daily,,,,,,,,,,,,,,,
.5MG PRN,.5mg prn,,,,,,,,,,,0.5,,mg,0,4,.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,8,prn
(? DOSAGE) 1 TAB PO QD,? dosage 1 tab po qd,,,,,1,,tablet,8,14, 1 tab,,,,,,,by mouth,15,17,po,1,,1,,day,,,,,,,,18,20,qd,daily,,,,,,,,,,,,,,,
(?MG) 1 TAB BY MOUTH DAILY,?mg 1 tab by mouth daily,,,,,1,,tablet,3,9, 1 tab,,,,,,,by mouth,10,18,by mouth,1,,1,,day,,,,,,,,19,24,daily,daily,,,,,,,,,,,,,,,
(1) TABLET BY MOUTH ONCE DAILY,1 tablet by mouth once daily,,,,,1,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,1,,day,,,,,,,,18,28,once daily,daily,,,,,,,,,,,,,,,
(ACCUPRIL) 1 TABLET BY MOUTH DAILY,accupril 1 tablet by mouth daily,,,,,1,,tablet,8,17, 1 tablet,,,,,,,by mouth,18,26,by mouth,1,,1,,day,,,,,,,,27,32,daily,daily,,,,,,,,,,,,,,,
(ACCUPRIL) 1 TABLET BY MOUTH TWICE A DAY,accupril 1 tablet by mouth twice a day,,,,,1,,tablet,8,17, 1 tablet,,,,,,,by mouth,18,26,by mouth,2,,1,,day,,,,,,,,27,38,twice a day,twice daily,,,,,,,,,,,,,,,
(ACID REDUCER (FAMOTIDINE)) 1 TABLET BY MOUTH TWICE A DAY,acid reducer famotidine 1 tablet by mouth twice a day,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,2,,1,,day,,,,,,,,42,53,twice a day,twice daily,,,,,,,,,,,,,,,
(ACTIGALL) 1 CAPSULE BY MOUTH TWICE A DAY,actigall 1 capsule by mouth twice a day,,,,,1,,capsule,8,18, 1 capsule,,,,,,,by mouth,19,27,by mouth,2,,1,,day,,,,,,,,28,39,twice a day,twice daily,,,,,,,,,,,,,,,
(ADDERALL XR) 1 CAPSULE BY MOUTH DAILY,adderall xr 1 capsule by mouth daily,,,,,1,,capsule,11,21, 1 capsule,,,,,,,by mouth,22,30,by mouth,1,,1,,day,,,,,,,,31,36,daily,daily,,,,,,,,,,,,,,,
(ADDERALL XR) 1 CAPSULE BY MOUTH EVERY MORNING,adderall xr 1 capsule by mouth every morning,,,,,1,,capsule,11,21, 1 capsule,,,,,,,by mouth,22,30,by mouth,1,,1,,day,,,,,,,,31,44,every morning,daily,in the morning,31,44,every morning,,,,,,,,,,,
(ADIPEX-P) 1 CAPSULE BY MOUTH DAILY,adipex-p 1 capsule by mouth daily,,,,,1,,capsule,8,18, 1 capsule,,,,,,,by mouth,19,27,by mouth,1,,1,,day,,,,,,,,28,33,daily,daily,,,,,,,,,,,,,,,
(ADIPEX-P) 1 TABLET BY MOUTH DAILY,adipex-p 1 tablet by mouth daily,,,,,1,,tablet,8,17, 1 tablet,,,,,,,by mouth,18,26,by mouth,1,,1,,day,,,,,,,,27,32,daily,daily,,,,,,,,,,,,,,,
(ALDACTAZIDE) 1 TABLET BY MOUTH DAILY,aldactazide 1 tablet by mouth daily,,,,,1,,tablet,11,20, 1 tablet,,,,,,,by mouth,21,29,by mouth,1,,1,,day,,,,,,,,30,35,daily,daily,,,,,,,,,,,,,,,
(ALDACTONE) 0.5 TABLET BY MOUTH DAILY,aldactone 0.5 tablet by mouth daily,,,,,0.5,,tablet,9,20, 0.5 tablet,,,,,,,by mouth,21,29,by mouth,1,,1,,day,,,,,,,,30,35,daily,daily,,,,,,,,,,,,,,,
(ALDACTONE) 1 TABLET BY MOUTH AT NOON EVERY DAY,aldactone 1 tablet by mouth at noon every day,,,,,1,,tablet,9,18, 1 tablet,,,,,,,by mouth,19,27,by mouth,1,,1,,day,,,,,,,,36,45,every day,daily,,,,,,,,,,,,,,,
(ALDACTONE) 1 TABLET BY MOUTH DAILY,aldactone 1 tablet by mouth daily,,,,,1,,tablet,9,18, 1 tablet,,,,,,,by mouth,19,27,by mouth,1,,1,,day,,,,,,,,28,33,daily,daily,,,,,,,,,,,,,,,
(ALDACTONE) 1 TABLET BY MOUTH EVERY MORNING,aldactone 1 tablet by mouth every morning,,,,,1,,tablet,9,18, 1 tablet,,,,,,,by mouth,19,27,by mouth,1,,1,,day,,,,,,,,28,41,every morning,daily,in the morning,28,41,every morning,,,,,,,,,,,
(ALDACTONE) 1 TABLET BY MOUTH TWICE A DAY,aldactone 1 tablet by mouth twice a day,,,,,1,,tablet,9,18, 1 tablet,,,,,,,by mouth,19,27,by mouth,2,,1,,day,,,,,,,,28,39,twice a day,twice daily,,,,,,,,,,,,,,,
(ALDACTONE) 2 TABLETS BY MOUTH DAILY,aldactone 2 tablets by mouth daily,,,,,2,,tablet,9,19, 2 tablets,,,,,,,by mouth,20,28,by mouth,1,,1,,day,,,,,,,,29,34,daily,daily,,,,,,,,,,,,,,,
(ALLEGRA) 1 TABLET BY MOUTH DAILY,allegra 1 tablet by mouth daily,,,,,1,,tablet,7,16, 1 tablet,,,,,,,by mouth,17,25,by mouth,1,,1,,day,,,,,,,,26,31,daily,daily,,,,,,,,,,,,,,,
(ALLEGRA) 1 TABLET BY MOUTH DAILY AS NEEDED,allegra 1 tablet by mouth daily as needed,,,,,1,,tablet,7,16, 1 tablet,,,,,,,by mouth,17,25,by mouth,1,,1,,day,,,,,,,,26,31,daily,daily,,,,,,,,,,,1,,32,41,as needed
(ALLEGRA) 1 TABLET BY MOUTH DAILY AS NEEDED FOR ALLERGY,allegra 1 tablet by mouth daily as needed for allergy,,,,,1,,tablet,7,16, 1 tablet,,,,,,,by mouth,17,25,by mouth,1,,1,,day,,,,,,,,26,31,daily,daily,,,,,,,,,,,1,allergy,32,53,as needed for allergy
(ALLEGRA) 1 TABLET BY MOUTH TWICE A DAY,allegra 1 tablet by mouth twice a day,,,,,1,,tablet,7,16, 1 tablet,,,,,,,by mouth,17,25,by mouth,2,,1,,day,,,,,,,,26,37,twice a day,twice daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ABILIFY) 0.5 TABLET BY MOUTH DAILY,also known as abilify 0.5 tablet by mouth daily,,,,,0.5,,tablet,21,32, 0.5 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ABILIFY) 0.5 TABLET BY MOUTH EVERY EVENING AT BEDTIME,also known as abilify 0.5 tablet by mouth every evening at bedtime,,,,,0.5,,tablet,21,32, 0.5 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,66,every evening at bedtime,daily,in the evening at bedtime,42,66,every evening at bedtime,,,,,,,,,,,
(ALSO KNOWN AS ABILIFY) 1 TABLET BY MOUTH DAILY,also known as abilify 1 tablet by mouth daily,,,,,1,,tablet,21,30, 1 tablet,,,,,,,by mouth,31,39,by mouth,1,,1,,day,,,,,,,,40,45,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ABILIFY) 1 TABLET BY MOUTH EVERY EVENING AT BEDTIME,also known as abilify 1 tablet by mouth every evening at bedtime,,,,,1,,tablet,21,30, 1 tablet,,,,,,,by mouth,31,39,by mouth,1,,1,,day,,,,,,,,40,64,every evening at bedtime,daily,in the evening at bedtime,40,64,every evening at bedtime,,,,,,,,,,,
(ALSO KNOWN AS ACCUPRIL) 1 TABLET BY MOUTH DAILY,also known as accupril 1 tablet by mouth daily,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,41,46,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACCUPRIL) 1 TABLET BY MOUTH TWICE A DAY,also known as accupril 1 tablet by mouth twice a day,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,2,,1,,day,,,,,,,,41,52,twice a day,twice daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACCUPRIL) 2 TABLETS BY MOUTH DAILY,also known as accupril 2 tablets by mouth daily,,,,,2,,tablet,22,32, 2 tablets,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACCURETIC) 1 TABLET BY MOUTH DAILY,also known as accuretic 1 tablet by mouth daily,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACEON) 1 TABLET BY MOUTH DAILY,also known as aceon 1 tablet by mouth daily,,,,,1,,tablet,19,28, 1 tablet,,,,,,,by mouth,29,37,by mouth,1,,1,,day,,,,,,,,38,43,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACID REDUCER (FAMOTIDINE)) 1 TABLET BY MOUTH DAILY,also known as acid reducer famotidine 1 tablet by mouth daily,,,,,1,,tablet,37,46, 1 tablet,,,,,,,by mouth,47,55,by mouth,1,,1,,day,,,,,,,,56,61,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACID REDUCER (FAMOTIDINE)) 1 TABLET BY MOUTH TWICE A DAY,also known as acid reducer famotidine 1 tablet by mouth twice a day,,,,,1,,tablet,37,46, 1 tablet,,,,,,,by mouth,47,55,by mouth,2,,1,,day,,,,,,,,56,67,twice a day,twice daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACID REDUCER (RANITIDINE)) 1 TABLET BY MOUTH TWICE A DAY,also known as acid reducer ranitidine 1 tablet by mouth twice a day,,,,,1,,tablet,37,46, 1 tablet,,,,,,,by mouth,47,55,by mouth,2,,1,,day,,,,,,,,56,67,twice a day,twice daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACIPHEX) 1 TABLET BY MOUTH DAILY,also known as aciphex 1 tablet by mouth daily,,,,,1,,tablet,21,30, 1 tablet,,,,,,,by mouth,31,39,by mouth,1,,1,,day,,,,,,,,40,45,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACTIGALL) 1 CAPSULE BY MOUTH DAILY,also known as actigall 1 capsule by mouth daily,,,,,1,,capsule,22,32, 1 capsule,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACTIGALL) 1 CAPSULE BY MOUTH EVERY 12 HOURS,also known as actigall 1 capsule by mouth every 12 hours,,,,,1,,capsule,22,32, 1 capsule,,,,,,,by mouth,33,41,by mouth,1,,12,,hour,,,,,,,,42,55,every 12 hour,every 12 hours,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACTIGALL) 1 CAPSULE BY MOUTH EVERY 8 HOURS,also known as actigall 1 capsule by mouth every 8 hours,,,,,1,,capsule,22,32, 1 capsule,,,,,,,by mouth,33,41,by mouth,1,,8,,hour,,,,,,,,42,54,every 8 hour,every 8 hours,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACTIGALL) 1 CAPSULE BY MOUTH THREE TIMES A DAY,also known as actigall 1 capsule by mouth three times a day,,,,,1,,capsule,22,32, 1 capsule,,,,,,,by mouth,33,41,by mouth,3,,1,,day,,,,,,,,42,59,three times a day,3 times per day,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACTIGALL) 1 CAPSULE BY MOUTH TWICE A DAY,also known as actigall 1 capsule by mouth twice a day,,,,,1,,capsule,22,32, 1 capsule,,,,,,,by mouth,33,41,by mouth,2,,1,,day,,,,,,,,42,53,twice a day,twice daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACTIGALL) 2 CAPSULES BY MOUTH TWICE A DAY,also known as actigall 2 capsules by mouth twice a day,,,,,2,,capsule,22,33, 2 capsules,,,,,,,by mouth,34,42,by mouth,2,,1,,day,,,,,,,,43,54,twice a day,twice daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACTIVELLA) 1 TABLET BY MOUTH DAILY,also known as activella 1 tablet by mouth daily,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACTOS) 1 TABLET BY MOUTH DAILY,also known as actos 1 tablet by mouth daily,,,,,1,,tablet,19,28, 1 tablet,,,,,,,by mouth,29,37,by mouth,1,,1,,day,,,,,,,,38,43,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACULAR LS) 1 DROP IN EYES AS DIRECTED THREE TIMES A DAY,also known as acular ls 1 drop in eyes as directed three times a day,,,,,1,,drops,23,30, 1 drop,,,,,,,in both eyes,31,38,in eyes,3,,1,,day,,,,,,,,51,68,three times a day,3 times per day,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACULAR) 1 DROP IN EYES AS DIRECTED THREE TIMES A DAY,also known as acular 1 drop in eyes as directed three times a day,,,,,1,,drops,20,27, 1 drop,,,,,,,in both eyes,28,35,in eyes,3,,1,,day,,,,,,,,48,65,three times a day,3 times per day,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACULAR) 1 DROP IN THE LEFT EYE FOUR TIMES A DAY,also known as acular 1 drop in the left eye four times a day,,,,,1,,drops,20,27, 1 drop,,,,,,,in left eye,28,43,in the left eye,4,,1,,day,,,,,,,,44,60,four times a day,4 times per day,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACULAR) 1 DROP IN THE LEFT EYE QID BEGINNING 2 DAYS PRIOR TO SURGERY,also known as acular 1 drop in the left eye qid beginning 2 days prior to surgery,,,,,1,,drops,20,27, 1 drop,,,,,,,in left eye,28,43,in the left eye,4,,1,,day,,,,,,,,44,47,qid,4 times per day,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACULAR) 1 DROP IN THE LEFT EYE THREE TIMES A DAY,also known as acular 1 drop in the left eye three times a day,,,,,1,,drops,20,27, 1 drop,,,,,,,in left eye,28,43,in the left eye,3,,1,,day,,,,,,,,44,61,three times a day,3 times per day,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACULAR) 1 DROP IN THE LEFT EYE THREE TIMES A DAY FOR 30 DAYS,also known as acular 1 drop in the left eye three times a day for 30 days,,,,,1,,drops,20,27, 1 drop,,,,,,,in left eye,28,43,in the left eye,3,,1,,day,,,,,,,,44,61,three times a day,3 times per day,,,,,30,,day,62,72,30 day,,,,,
(ALSO KNOWN AS ACULAR) 1 DROP IN THE RIGHT EYE FOUR TIMES A DAY,also known as acular 1 drop in the right eye four times a day,,,,,1,,drops,20,27, 1 drop,,,,,,,in right eye,28,44,in the right eye,4,,1,,day,,,,,,,,45,61,four times a day,4 times per day,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACULAR) 1 DROP IN THE RIGHT EYE QID BEGINNING 2 DAYS PRIOR TO SURGERY,also known as acular 1 drop in the right eye qid beginning 2 days prior to surgery,,,,,1,,drops,20,27, 1 drop,,,,,,,in right eye,28,44,in the right eye,4,,1,,day,,,,,,,,45,48,qid,4 times per day,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACULAR) 1 DROP IN THE RIGHT EYE THREE TIMES A DAY,also known as acular 1 drop in the right eye three times a day,,,,,1,,drops,20,27, 1 drop,,,,,,,in right eye,28,44,in the right eye,3,,1,,day,,,,,,,,45,62,three times a day,3 times per day,,,,,,,,,,,,,,,
(ALSO KNOWN AS ACULAR) 1 DROP IN THE RIGHT EYE THREE TIMES A DAY FOR 30 DAYS,also known as acular 1 drop in the right eye three times a day for 30 days,,,,,1,,drops,20,27, 1 drop,,,,,,,in right eye,28,44,in the right eye,3,,1,,day,,,,,,,,45,62,three times a day,3 times per day,,,,,30,,day,63,73,30 day,,,,,
(ALSO KNOWN AS ADALAT CC) 1 TABLET BY MOUTH DAILY,also known as adalat cc 1 tablet by mouth daily,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,with meal,21,23,cc,,,,,,,,,,,
(ALSO KNOWN AS ADALAT CC) 1 TABLET BY MOUTH TWICE A DAY,also known as adalat cc 1 tablet by mouth twice a day,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,2,,1,,day,,,,,,,,42,53,twice a day,twice daily,with meal,21,23,cc,,,,,,,,,,,
(ALSO KNOWN AS ADDERALL XR) 1 CAPSULE BY MOUTH DAILY,also known as adderall xr 1 capsule by mouth daily,,,,,1,,capsule,25,35, 1 capsule,,,,,,,by mouth,36,44,by mouth,1,,1,,day,,,,,,,,45,50,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ADDERALL XR) 1 CAPSULE BY MOUTH DAILY AS NEEDED,also known as adderall xr 1 capsule by mouth daily as needed,,,,,1,,capsule,25,35, 1 capsule,,,,,,,by mouth,36,44,by mouth,1,,1,,day,,,,,,,,45,50,daily,daily,,,,,,,,,,,1,,51,60,as needed
(ALSO KNOWN AS ADDERALL XR) 1 CAPSULE BY MOUTH DAILY FOR 30 DAY(S),also known as adderall xr 1 capsule by mouth daily for 30 days,,,,,1,,capsule,25,35, 1 capsule,,,,,,,by mouth,36,44,by mouth,1,,1,,day,,,,,,,,45,50,daily,daily,,,,,30,,day,51,61,30 day,,,,,
(ALSO KNOWN AS ADDERALL XR) 1 CAPSULE BY MOUTH EVERY MORNING,also known as adderall xr 1 capsule by mouth every morning,,,,,1,,capsule,25,35, 1 capsule,,,,,,,by mouth,36,44,by mouth,1,,1,,day,,,,,,,,45,58,every morning,daily,in the morning,45,58,every morning,,,,,,,,,,,
(ALSO KNOWN AS ADDERALL XR) 1 CAPSULE BY MOUTH EVERY MORNING FOR 30 DAY(S),also known as adderall xr 1 capsule by mouth every morning for 30 days,,,,,1,,capsule,25,35, 1 capsule,,,,,,,by mouth,36,44,by mouth,1,,1,,day,,,,,,,,45,58,every morning,daily,in the morning,45,58,every morning,30,,day,59,69,30 day,,,,,
(ALSO KNOWN AS ADDERALL XR) 1 CAPSULE BY MOUTH TWICE A DAY,also known as adderall xr 1 capsule by mouth twice a day,,,,,1,,capsule,25,35, 1 capsule,,,,,,,by mouth,36,44,by mouth,2,,1,,day,,,,,,,,45,56,twice a day,twice daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ADDERALL XR) 2 CAPSULES BY MOUTH DAILY,also known as adderall xr 2 capsules by mouth daily,,,,,2,,capsule,25,36, 2 capsules,,,,,,,by mouth,37,45,by mouth,1,,1,,day,,,,,,,,46,51,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ADDERALL XR) 2 CAPSULES BY MOUTH EVERY MORNING,also known as adderall xr 2 capsules by mouth every morning,,,,,2,,capsule,25,36, 2 capsules,,,,,,,by mouth,37,45,by mouth,1,,1,,day,,,,,,,,46,59,every morning,daily,in the morning,46,59,every morning,,,,,,,,,,,
(ALSO KNOWN AS ADDERALL) 1 TABLET BY MOUTH AT NOON EVERY DAY,also known as adderall 1 tablet by mouth at noon every day,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,49,58,every day,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ADDERALL) 1 TABLET BY MOUTH DAILY,also known as adderall 1 tablet by mouth daily,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,41,46,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ADDERALL) 1 TABLET BY MOUTH EVERY MORNING,also known as adderall 1 tablet by mouth every morning,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,41,54,every morning,daily,in the morning,41,54,every morning,,,,,,,,,,,
(ALSO KNOWN AS ADDERALL) 1 TABLET BY MOUTH THREE TIMES A DAY,also known as adderall 1 tablet by mouth three times a day,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,3,,1,,day,,,,,,,,41,58,three times a day,3 times per day,,,,,,,,,,,,,,,
(ALSO KNOWN AS ADDERALL) 1 TABLET BY MOUTH TWICE A DAY,also known as adderall 1 tablet by mouth twice a day,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,2,,1,,day,,,,,,,,41,52,twice a day,twice daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ADDERALL) 2 TABLETS BY MOUTH DAILY,also known as adderall 2 tablets by mouth daily,,,,,2,,tablet,22,32, 2 tablets,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ADIPEX-P) 0.5 TABLET BY MOUTH DAILY,also known as adipex-p 0.5 tablet by mouth daily,,,,,0.5,,tablet,22,33, 0.5 tablet,,,,,,,by mouth,34,42,by mouth,1,,1,,day,,,,,,,,43,48,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ADIPEX-P) 1 CAPSULE BY MOUTH DAILY,also known as adipex-p 1 capsule by mouth daily,,,,,1,,capsule,22,32, 1 capsule,,,,,,,by mouth,33,41,by mouth,1,,1,,day,,,,,,,,42,47,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ADIPEX-P) 1 TABLET BY MOUTH DAILY,also known as adipex-p 1 tablet by mouth daily,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,41,46,daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS ADIPEX-P) 1 TABLET BY MOUTH EVERY MORNING,also known as adipex-p 1 tablet by mouth every morning,,,,,1,,tablet,22,31, 1 tablet,,,,,,,by mouth,32,40,by mouth,1,,1,,day,,,,,,,,41,54,every morning,daily,in the morning,41,54,every morning,,,,,,,,,,,
(ALSO KNOWN AS ALDACTAZIDE) 0.5 TABLET BY MOUTH DAILY,also known as aldactazide 0.5 tablet by mouth daily,,,,,0.5,,tablet,25,36, 0.5 tablet,,,,,,,by mouth,37,45,by mouth,1,,1,,day,,,,,,,,46,51,daily,daily,,,,,,,,,,,,,,,
